117.121.0.0,117.121.127.255,hosting,CN,AS24134 
117.121.128.0,117.121.183.255,business,CN,AS4837 
117.121.184.0,117.121.199.255,business,CN, 
117.121.200.0,117.121.207.255,hosting,ID,AS46029 
117.121.208.0,117.121.218.47,isp,TH,AS38794 
117.121.218.48,117.121.218.63,business,TH,AS38794 
117.121.218.64,117.121.220.31,isp,TH,AS38794 
117.121.220.32,117.121.220.63,business,TH,AS38794 
117.121.220.64,117.121.223.255,isp,TH,AS38794 
117.121.224.0,117.121.239.255,business,NP,AS4613 
117.121.240.0,117.121.240.255,hosting,MY,AS45887 
117.121.241.0,117.121.241.255,hosting,SG,AS45887 
117.121.242.0,117.121.242.255,hosting,AU,AS45887 
117.121.243.0,117.121.243.255,business,AU, 
117.121.244.0,117.121.244.255,hosting,NZ,AS45887 
117.121.245.0,117.121.245.255,hosting,IN,AS31715 
117.121.246.0,117.121.246.255,business,FR, 
117.121.247.0,117.121.247.255,business,JP, 
117.121.248.0,117.121.255.255,hosting,AU,AS22822 
