117.232.80.112,117.232.80.127,business,IN,AS9829 
117.232.80.128,117.232.115.191,isp,IN,AS9829 
117.232.115.192,117.232.115.199,business,IN,AS9829 
117.232.115.200,117.232.132.7,isp,IN,AS9829 
117.232.132.8,117.232.132.15,business,IN,AS9829 
117.232.132.16,117.232.132.23,isp,IN,AS9829 
117.232.132.24,117.232.132.27,business,IN,AS9829 
117.232.132.28,117.232.132.31,education,IN,AS9829 
117.232.132.32,117.232.132.47,business,IN,AS9829 
117.232.132.48,117.232.132.51,education,IN,AS9829 
117.232.132.52,117.232.132.55,isp,IN,AS9829 
117.232.132.56,117.232.132.59,business,IN,AS9829 
117.232.132.60,117.232.132.67,isp,IN,AS9829 
117.232.132.68,117.232.132.71,business,IN,AS9829 
117.232.132.72,117.232.132.79,isp,IN,AS9829 
117.232.132.80,117.232.132.83,business,IN,AS9829 
117.232.132.84,117.232.132.87,isp,IN,AS9829 
117.232.132.88,117.232.132.95,education,IN,AS9829 
117.232.132.96,117.232.132.103,isp,IN,AS9829 
117.232.132.104,117.232.132.107,business,IN,AS9829 
117.232.132.108,117.232.132.111,isp,IN,AS9829 
117.232.132.112,117.232.132.119,business,IN,AS9829 
117.232.132.120,117.232.132.123,isp,IN,AS9829 
117.232.132.124,117.232.132.127,business,IN,AS9829 
117.232.132.128,117.232.132.131,education,IN,AS9829 
117.232.132.132,117.232.132.135,business,IN,AS9829 
117.232.132.136,117.232.132.143,isp,IN,AS9829 
117.232.132.144,117.232.132.147,business,IN,AS9829 
117.232.132.148,117.232.132.163,isp,IN,AS9829 
117.232.132.164,117.232.132.167,business,IN,AS9829 
117.232.132.168,117.232.132.171,isp,IN,AS9829 
117.232.132.172,117.232.132.179,education,IN,AS9829 
117.232.132.180,117.232.132.183,business,IN,AS9829 
117.232.132.184,117.232.132.191,isp,IN,AS9829 
117.232.132.192,117.232.132.195,business,IN,AS9829 
117.232.132.196,117.232.132.199,isp,IN,AS9829 
117.232.132.200,117.232.132.203,business,IN,AS9829 
117.232.132.204,117.232.132.235,isp,IN,AS9829 
117.232.132.236,117.232.132.239,business,IN,AS9829 
117.232.132.240,117.232.133.23,isp,IN,AS9829 
117.232.133.24,117.232.133.31,business,IN,AS9829 
117.232.133.32,117.232.133.103,isp,IN,AS9829 
117.232.133.104,117.232.133.107,education,IN,AS9829 
117.232.133.108,117.232.133.187,isp,IN,AS9829 
117.232.133.188,117.232.133.191,business,IN,AS9829 
117.232.133.192,117.232.133.195,isp,IN,AS9829 
117.232.133.196,117.232.133.215,business,IN,AS9829 
117.232.133.216,117.232.134.255,isp,IN,AS9829 
117.232.135.0,117.232.135.3,business,IN,AS9829 
117.232.135.4,117.232.135.255,isp,IN,AS9829 
117.232.136.0,117.232.136.3,education,IN,AS9829 
117.232.136.4,117.232.136.15,business,IN,AS9829 
117.232.136.16,117.232.136.19,education,IN,AS9829 
117.232.136.20,117.232.136.23,isp,IN,AS9829 
117.232.136.24,117.232.136.31,education,IN,AS9829 
117.232.136.32,117.232.136.43,business,IN,AS9829 
117.232.136.44,117.232.136.47,isp,IN,AS9829 
117.232.136.48,117.232.136.51,business,IN,AS9829 
117.232.136.52,117.232.136.55,isp,IN,AS9829 
117.232.136.56,117.232.136.59,business,IN,AS9829 
117.232.136.60,117.232.136.63,isp,IN,AS9829 
117.232.136.64,117.232.136.67,business,IN,AS9829 
117.232.136.68,117.232.136.71,education,IN,AS9829 
117.232.136.72,117.232.136.75,business,IN,AS9829 
117.232.136.76,117.232.136.79,education,IN,AS9829 
117.232.136.80,117.232.136.83,isp,IN,AS9829 
117.232.136.84,117.232.136.87,business,IN,AS9829 
117.232.136.88,117.232.136.91,isp,IN,AS9829 
117.232.136.92,117.232.136.95,business,IN,AS9829 
117.232.136.96,117.232.136.99,education,IN,AS9829 
117.232.136.100,117.232.136.103,isp,IN,AS9829 
117.232.136.104,117.232.136.123,business,IN,AS9829 
117.232.136.124,117.232.136.127,education,IN,AS9829 
117.232.136.128,117.232.136.139,isp,IN,AS9829 
117.232.136.140,117.232.136.143,business,IN,AS9829 
117.232.136.144,117.232.136.147,education,IN,AS9829 
117.232.136.148,117.232.136.151,isp,IN,AS9829 
117.232.136.152,117.232.136.167,business,IN,AS9829 
117.232.136.168,117.232.136.175,isp,IN,AS9829 
117.232.136.176,117.232.136.183,business,IN,AS9829 
117.232.136.184,117.232.136.187,isp,IN,AS9829 
117.232.136.188,117.232.136.247,business,IN,AS9829 
117.232.136.248,117.232.137.3,isp,IN,AS9829 
117.232.137.4,117.232.137.7,business,IN,AS9829 
117.232.137.8,117.232.137.35,isp,IN,AS9829 
117.232.137.36,117.232.137.39,business,IN,AS9829 
117.232.137.40,117.232.137.47,isp,IN,AS9829 
117.232.137.48,117.232.137.51,business,IN,AS9829 
117.232.137.52,117.232.152.7,isp,IN,AS9829 
117.232.152.8,117.232.152.15,business,IN,AS9829 
117.232.152.16,117.232.154.7,isp,IN,AS9829 
117.232.154.8,117.232.154.15,business,IN,AS9829 
117.232.154.16,117.232.155.127,isp,IN,AS9829 
117.232.155.128,117.232.155.135,business,IN,AS9829 
117.232.155.136,117.232.156.19,isp,IN,AS9829 
117.232.156.20,117.232.156.35,education,IN,AS9829 
117.232.156.36,117.232.156.43,isp,IN,AS9829 
117.232.156.44,117.232.156.47,education,IN,AS9829 
117.232.156.48,117.232.156.55,isp,IN,AS9829 
117.232.156.56,117.232.156.63,education,IN,AS9829 
117.232.156.64,117.232.156.71,isp,IN,AS9829 
117.232.156.72,117.232.156.95,education,IN,AS9829 
117.232.156.96,117.232.156.99,business,IN,AS9829 
117.232.156.100,117.232.156.103,education,IN,AS9829 
117.232.156.104,117.232.156.111,isp,IN,AS9829 
117.232.156.112,117.232.156.115,education,IN,AS9829 
117.232.156.116,117.232.156.127,isp,IN,AS9829 
117.232.156.128,117.232.156.135,education,IN,AS9829 
117.232.156.136,117.232.156.139,isp,IN,AS9829 
117.232.156.140,117.232.156.143,education,IN,AS9829 
117.232.156.144,117.232.156.151,isp,IN,AS9829 
117.232.156.152,117.232.156.155,education,IN,AS9829 
117.232.156.156,117.232.156.167,isp,IN,AS9829 
117.232.156.168,117.232.156.175,education,IN,AS9829 
117.232.156.176,117.232.156.179,isp,IN,AS9829 
117.232.156.180,117.232.156.191,education,IN,AS9829 
117.232.156.192,117.232.156.195,isp,IN,AS9829 
117.232.156.196,117.232.156.215,education,IN,AS9829 
117.232.156.216,117.232.156.247,isp,IN,AS9829 
117.232.156.248,117.232.156.255,education,IN,AS9829 
117.232.157.0,117.232.157.27,isp,IN,AS9829 
117.232.157.28,117.232.157.31,business,IN,AS9829 
117.232.157.32,117.232.157.35,isp,IN,AS9829 
117.232.157.36,117.232.157.39,education,IN,AS9829 
117.232.157.40,117.232.157.43,isp,IN,AS9829 
117.232.157.44,117.232.157.47,education,IN,AS9829 
117.232.157.48,117.232.157.255,isp,IN,AS9829 
117.232.158.0,117.232.158.3,business,IN,AS9829 
117.232.158.4,117.232.158.7,isp,IN,AS9829 
117.232.158.8,117.232.158.11,business,IN,AS9829 
117.232.158.12,117.232.191.255,isp,IN,AS9829 
117.232.192.0,117.232.192.31,business,IN,AS9829 
117.232.192.32,117.232.192.39,isp,IN,AS9829 
117.232.192.40,117.232.192.47,business,IN,AS9829 
117.232.192.48,117.232.192.63,isp,IN,AS9829 
