134.90.0.0,134.90.127.255,isp,GE,AS20771 
134.90.128.0,134.90.135.255,isp,BA,AS21107 
134.90.136.0,134.90.141.255,hosting,FR,AS198330 
134.90.142.0,134.90.142.255,business,FR,AS198330 
134.90.143.0,134.90.143.255,hosting,FR,AS198330 
134.90.144.0,134.90.144.63,hosting,NO,AS50304 
134.90.144.64,134.90.144.79,business,NO,AS50304 
134.90.144.80,134.90.144.103,hosting,NO,AS50304 
134.90.144.104,134.90.144.127,business,NO,AS50304 
134.90.144.128,134.90.144.171,hosting,NO,AS50304 
134.90.144.172,134.90.144.179,business,NO,AS50304 
134.90.144.180,134.90.144.187,hosting,NO,AS50304 
134.90.144.188,134.90.144.211,business,NO,AS50304 
134.90.144.212,134.90.145.67,hosting,NO,AS50304 
134.90.145.68,134.90.145.87,business,NO,AS50304 
134.90.145.88,134.90.145.95,hosting,NO,AS50304 
134.90.145.96,134.90.145.127,business,NO,AS50304 
134.90.145.128,134.90.145.255,hosting,NO,AS50304 
134.90.146.0,134.90.146.255,hosting,NL,AS50304 
134.90.147.0,134.90.147.127,business,NO,AS50304 
134.90.147.128,134.90.147.143,hosting,NO,AS50304 
134.90.147.144,134.90.147.159,business,NO,AS50304 
134.90.147.160,134.90.147.255,hosting,NO,AS50304 
134.90.148.0,134.90.148.11,hosting,US,AS50304 
134.90.148.12,134.90.148.15,hosting,NO,AS50304 
134.90.148.16,134.90.148.23,hosting,US,AS50304 
134.90.148.24,134.90.148.63,business,US,AS50304 
134.90.148.64,134.90.148.95,hosting,US,AS50304 
134.90.148.96,134.90.148.191,hosting,NO,AS50304 
134.90.148.192,134.90.148.255,hosting,US,AS50304 
134.90.149.0,134.90.149.27,hosting,DK,AS50304 
134.90.149.28,134.90.149.35,hosting,NO,AS50304 
134.90.149.36,134.90.149.211,hosting,DK,AS50304 
134.90.149.212,134.90.149.215,hosting,NO,AS50304 
134.90.149.216,134.90.149.223,hosting,DK,AS50304 
134.90.149.224,134.90.149.239,hosting,NO,AS50304 
134.90.149.240,134.90.149.247,hosting,DK,AS50304 
134.90.149.248,134.90.151.255,hosting,NO,AS50304 
134.90.152.0,134.90.159.255,isp,RU,AS44507 
134.90.160.0,134.90.191.255,isp,RU,AS39927 
134.90.192.0,134.90.207.255,business,GB,AS31151 
134.90.208.0,134.90.215.255,isp,RU,AS12389 
134.90.216.0,134.90.223.255,business,CH, 
134.90.224.0,134.90.237.103,isp,IT,AS48500 
134.90.237.104,134.90.237.111,business,IT,AS48500 
134.90.237.112,134.90.237.179,isp,IT,AS48500 
134.90.237.180,134.90.237.183,business,IT,AS48500 
134.90.237.184,134.90.238.255,isp,IT,AS48500 
134.90.239.0,134.90.239.127,business,IT,AS48500 
134.90.239.128,134.90.239.255,isp,IT,AS48500 
134.90.240.0,134.90.247.255,isp,IT,AS198380 
134.90.248.0,134.90.255.254,isp,IT,AS45015 
134.90.255.255,134.90.255.255,isp,IT,AS48500 
