136.143.0.0,136.143.134.255,business,US 
136.143.135.0,136.143.135.255,isp,US 
136.143.136.0,136.143.136.255,business,US 
136.143.137.0,136.143.137.255,isp,US 
136.143.138.0,136.143.139.255,hosting,US 
136.143.140.0,136.143.143.255,isp,CA 
136.143.144.0,136.143.159.255,isp,US 
136.143.160.0,136.143.167.255,hosting,US 
136.143.168.0,136.143.171.255,hosting,NL 
136.143.172.0,136.143.191.255,hosting,US 
136.143.192.0,136.143.194.255,business,US 
136.143.195.0,136.143.195.255,business,VI 
136.143.196.0,136.143.198.255,business,US 
136.143.199.0,136.143.199.255,government,US 
136.143.200.0,136.143.203.255,business,US 
136.143.204.0,136.143.207.255,isp,US 
136.143.208.0,136.143.223.255,isp,CA 
136.143.224.0,136.143.239.255,isp,HK 
136.143.240.0,136.143.255.255,hosting,US 
