141.170.0.0,141.170.127.255,hosting,GB,AS33920 
141.170.128.0,141.170.129.255,business,CZ,AS16019 
141.170.130.0,141.170.131.255,isp,CZ,AS16019 
141.170.132.0,141.170.147.255,business,CZ,AS16019 
141.170.148.0,141.170.152.255,isp,CZ,AS16019 
141.170.153.0,141.170.155.0,business,CZ,AS16019 
141.170.155.1,141.170.155.255,isp,CZ,AS16019 
141.170.156.0,141.170.157.255,business,CZ,AS16019 
141.170.158.0,141.170.159.255,isp,CZ,AS16019 
141.170.160.0,141.170.167.254,business,CZ,AS16019 
141.170.167.255,141.170.191.255,isp,CZ,AS16019 
141.170.192.0,141.170.207.255,isp,BA,AS42560 
141.170.208.0,141.170.209.255,business,ES,AS200064 
141.170.210.0,141.170.213.255,business,ES,AS201735 
141.170.214.0,141.170.214.159,isp,ES,AS59908 
141.170.214.160,141.170.215.255,business,ES,AS201735 
141.170.216.0,141.170.217.79,isp,FR,AS15557 
141.170.217.80,141.170.217.87,business,FR,AS15557 
141.170.217.88,141.170.217.95,isp,FR,AS15557 
141.170.217.96,141.170.217.103,business,FR,AS15557 
141.170.217.104,141.170.217.127,isp,FR,AS15557 
141.170.217.128,141.170.217.155,business,FR,AS15557 
141.170.217.156,141.170.217.156,isp,FR,AS15557 
141.170.217.157,141.170.217.159,business,FR,AS15557 
141.170.217.160,141.170.220.159,isp,FR,AS15557 
141.170.220.160,141.170.220.167,business,FR,AS15557 
141.170.220.168,141.170.220.239,isp,FR,AS15557 
141.170.220.240,141.170.220.241,business,FR,AS15557 
141.170.220.242,141.170.220.244,isp,FR,AS15557 
141.170.220.245,141.170.220.245,business,FR,AS15557 
141.170.220.246,141.170.220.247,isp,FR,AS15557 
141.170.220.248,141.170.220.255,business,FR,AS15557 
141.170.221.0,141.170.221.175,isp,FR,AS15557 
141.170.221.176,141.170.221.179,business,FR,AS15557 
141.170.221.180,141.170.221.181,isp,FR,AS15557 
141.170.221.182,141.170.221.183,business,FR,AS15557 
141.170.221.184,141.170.222.79,isp,FR,AS15557 
141.170.222.80,141.170.222.87,business,FR,AS15557 
141.170.222.88,141.170.222.103,isp,FR,AS15557 
141.170.222.104,141.170.222.111,business,FR,AS15557 
141.170.222.112,141.170.222.255,isp,FR,AS15557 
141.170.223.0,141.170.223.1,business,FR,AS15557 
141.170.223.2,141.170.223.71,isp,FR,AS15557 
141.170.223.72,141.170.223.79,business,FR,AS15557 
141.170.223.80,141.170.223.159,isp,FR,AS15557 
141.170.223.160,141.170.223.167,business,FR,AS15557 
141.170.223.168,141.170.223.255,isp,FR,AS15557 
141.170.224.0,141.170.255.255,isp,UA, 
