142.154.0.0,142.154.127.255,isp,SA 
142.154.128.0,142.154.130.15,isp,US 
142.154.130.16,142.154.130.23,business,US 
142.154.130.24,142.154.130.47,isp,US 
142.154.130.48,142.154.130.55,business,US 
142.154.130.56,142.154.130.63,isp,US 
142.154.130.64,142.154.130.71,business,US 
142.154.130.72,142.154.130.127,isp,US 
142.154.130.128,142.154.130.135,business,US 
142.154.130.136,142.154.130.143,isp,US 
142.154.130.144,142.154.130.175,business,US 
142.154.130.176,142.154.130.191,isp,US 
142.154.130.192,142.154.130.207,business,US 
142.154.130.208,142.154.144.39,isp,US 
142.154.144.40,142.154.144.47,education,US 
142.154.144.48,142.154.144.63,isp,US 
142.154.144.64,142.154.144.95,business,US 
142.154.144.96,142.154.144.111,education,US 
142.154.144.112,142.154.144.127,business,US 
142.154.144.128,142.154.144.191,isp,US 
142.154.144.192,142.154.144.199,business,US 
142.154.144.200,142.154.223.255,isp,US 
142.154.224.0,142.157.255.255,education,CA 
