162.104.0.0,162.104.203.255,isp,US,AS209 
162.104.204.0,162.104.204.15,business,US,AS22561 
162.104.204.16,162.104.204.31,isp,US,AS209 
162.104.204.32,162.104.204.39,business,US,AS22561 
162.104.204.40,162.104.204.47,isp,US,AS22561 
162.104.204.48,162.104.206.23,isp,US,AS209 
162.104.206.24,162.104.206.31,isp,US,AS22561 
162.104.206.32,162.104.206.63,isp,US,AS209 
162.104.206.64,162.104.206.79,isp,US,AS22561 
162.104.206.80,162.104.206.87,business,US,AS22561 
162.104.206.88,162.104.206.103,isp,US,AS22561 
162.104.206.104,162.104.206.111,business,US,AS22561 
162.104.206.112,162.104.206.119,isp,US,AS22561 
162.104.206.120,162.104.206.127,isp,US,AS209 
162.104.206.128,162.104.206.159,isp,US,AS22561 
162.104.206.160,162.104.255.255,isp,US,AS209 
