169.155.44.0,169.155.87.255,hosting,US 
169.155.88.0,169.155.127.255,business,US 
169.155.128.0,169.155.159.255,hosting,US 
169.155.160.0,169.155.167.255,isp,US 
169.155.168.0,169.155.171.255,hosting,US 
169.155.172.0,169.155.223.255,business,US 
169.155.224.0,169.155.231.255,isp,DE 
169.155.232.0,169.155.232.255,isp,IT 
169.155.233.0,169.155.235.255,isp,ES 
169.155.236.0,169.155.237.255,isp,PT 
169.155.238.0,169.155.239.255,isp,IE 
169.155.240.0,169.155.243.255,isp,BE 
169.155.244.0,169.155.247.255,isp,GB 
169.155.248.0,169.155.255.255,isp,FR 
