180.211.0.0,180.211.63.255,isp,KR,AS45361 
180.211.64.0,180.211.65.255,hosting,IN,AS131235 
180.211.66.0,180.211.67.255,hosting,PH,AS131235 
180.211.68.0,180.211.71.255,hosting,IN,AS131235 
180.211.72.0,180.211.72.255,hosting,JP,AS15830 
180.211.73.0,180.211.73.127,business,JP,AS15830 
180.211.73.128,180.211.73.191,hosting,JP,AS15830 
180.211.73.192,180.211.73.255,business,JP,AS15830 
180.211.74.0,180.211.74.255,hosting,JP,AS15830 
180.211.75.0,180.211.75.127,business,JP,AS15830 
180.211.75.128,180.211.75.191,hosting,JP,AS15830 
180.211.75.192,180.211.76.127,business,JP,AS15830 
180.211.76.128,180.211.76.159,hosting,JP,AS15830 
180.211.76.160,180.211.77.255,business,JP,AS15830 
180.211.78.0,180.211.78.255,hosting,JP,AS15830 
180.211.79.0,180.211.79.255,business,JP,AS15830 
180.211.80.0,180.211.83.255,isp,IN, 
180.211.84.0,180.211.84.15,hosting,JP,AS38633 
180.211.84.16,180.211.84.31,business,JP,AS38633 
180.211.84.32,180.211.84.63,hosting,JP,AS38633 
180.211.84.64,180.211.84.95,business,JP,AS38633 
180.211.84.96,180.211.87.255,hosting,JP,AS38633 
180.211.88.0,180.211.95.255,isp,ID,AS45725 
180.211.96.0,180.211.127.255,isp,IN,AS17625 
180.211.128.0,180.211.199.255,isp,BD,AS17494 
180.211.200.0,180.211.202.255,business,BD,AS17494 
180.211.203.0,180.211.203.255,isp,BD,AS17494 
180.211.204.0,180.211.204.255,business,BD,AS17494 
180.211.205.0,180.211.205.255,isp,BD,AS45588 
180.211.206.0,180.211.207.255,business,BD,AS17494 
180.211.208.0,180.211.208.255,business,BD,AS45532 
180.211.209.0,180.211.211.255,business,BD,AS17494 
180.211.212.0,180.211.212.255,isp,BD,AS17494 
180.211.213.0,180.211.213.255,government,BD,AS63932 
180.211.214.0,180.211.215.255,education,BD,AS17494 
180.211.216.0,180.211.241.255,business,BD,AS17494 
180.211.242.0,180.211.242.255,isp,BD,AS17494 
180.211.243.0,180.211.243.255,isp,BD,AS45588 
180.211.244.0,180.211.247.255,business,BD,AS17494 
180.211.248.0,180.211.255.255,isp,BD,AS45588 
