190.95.0.0,190.95.127.255,isp,CL,AS14117 
190.95.128.0,190.95.140.7,isp,EC,AS27947 
190.95.140.8,190.95.140.31,business,EC,AS27947 
190.95.140.32,190.95.157.191,isp,EC,AS27947 
190.95.157.192,190.95.157.199,business,EC,AS27947 
190.95.157.200,190.95.165.255,isp,EC,AS27947 
190.95.166.0,190.95.166.255,business,EC,AS27947 
190.95.167.0,190.95.167.223,isp,EC,AS27947 
190.95.167.224,190.95.167.255,business,EC,AS27947 
190.95.168.0,190.95.171.255,isp,EC,AS27947 
190.95.172.0,190.95.172.7,business,EC,AS27947 
190.95.172.8,190.95.172.23,isp,EC,AS27947 
190.95.172.24,190.95.172.31,business,EC,AS27947 
190.95.172.32,190.95.172.63,education,EC,AS27947 
190.95.172.64,190.95.173.255,isp,EC,AS27947 
190.95.174.0,190.95.174.255,business,EC,AS27947 
190.95.175.0,190.95.184.7,isp,EC,AS27947 
190.95.184.8,190.95.184.15,business,EC,AS27947 
190.95.184.16,190.95.187.95,isp,EC,AS27947 
190.95.187.96,190.95.187.127,business,EC,AS27947 
190.95.187.128,190.95.200.119,isp,EC,AS27947 
190.95.200.120,190.95.200.127,business,EC,AS27947 
190.95.200.128,190.95.215.127,isp,EC,AS27947 
190.95.215.128,190.95.215.159,education,EC,AS27947 
190.95.215.160,190.95.215.167,business,EC,AS27947 
190.95.215.168,190.95.215.255,education,EC,AS27947 
190.95.216.0,190.95.217.119,isp,EC,AS27947 
190.95.217.120,190.95.217.159,business,EC,AS27947 
190.95.217.160,190.95.217.223,isp,EC,AS27947 
190.95.217.224,190.95.217.255,business,EC,AS27947 
190.95.218.0,190.95.218.223,isp,EC,AS27947 
190.95.218.224,190.95.218.239,education,EC,AS27947 
190.95.218.240,190.95.218.247,isp,EC,AS27947 
190.95.218.248,190.95.218.255,education,EC,AS27947 
190.95.219.0,190.95.221.127,isp,EC,AS27947 
190.95.221.128,190.95.221.255,business,EC,AS27947 
190.95.222.0,190.95.224.15,isp,EC,AS27947 
190.95.224.16,190.95.224.19,business,EC,AS27947 
190.95.224.20,190.95.226.199,isp,EC,AS27947 
190.95.226.200,190.95.226.223,business,EC,AS27947 
190.95.226.224,190.95.231.7,isp,EC,AS27947 
190.95.231.8,190.95.231.15,business,EC,AS27947 
190.95.231.16,190.95.231.47,isp,EC,AS27947 
190.95.231.48,190.95.231.55,business,EC,AS27947 
190.95.231.56,190.95.231.179,isp,EC,AS27947 
190.95.231.180,190.95.231.183,business,EC,AS27947 
190.95.231.184,190.95.231.191,isp,EC,AS27947 
190.95.231.192,190.95.231.199,business,EC,AS27947 
190.95.231.200,190.95.232.159,isp,EC,AS27947 
190.95.232.160,190.95.232.191,business,EC,AS27947 
190.95.232.192,190.95.233.255,isp,EC,AS27947 
190.95.234.0,190.95.234.7,education,EC,AS27947 
190.95.234.8,190.95.234.23,business,EC,AS27947 
190.95.234.24,190.95.240.39,isp,EC,AS27947 
190.95.240.40,190.95.240.47,business,EC,AS27947 
190.95.240.48,190.95.243.223,isp,EC,AS27947 
190.95.243.224,190.95.243.231,business,EC,AS27947 
190.95.243.232,190.95.246.255,isp,EC,AS27947 
190.95.247.0,190.95.247.255,business,EC,AS27947 
190.95.248.0,190.95.255.255,isp,EC,AS27947 
