193.100.20.0,193.100.23.255,hosting,DE,AS197491 
193.100.24.0,193.100.31.255,business,DE,AS702 
193.100.32.0,193.100.63.255,business,DE,AS12422 
193.100.64.0,193.100.104.255,business,DE,AS702 
193.100.105.0,193.100.105.255,isp,DE,AS702 
193.100.106.0,193.100.123.255,business,DE,AS702 
193.100.124.0,193.100.125.255,business,DE,AS21063 
193.100.126.0,193.100.154.191,business,DE,AS702 
193.100.154.192,193.100.154.255,isp,DE,AS702 
193.100.155.0,193.100.166.255,business,DE,AS702 
193.100.167.0,193.100.167.255,business,DE,AS200916 
193.100.168.0,193.100.177.159,business,DE,AS702 
193.100.177.160,193.100.177.167,isp,DE,AS702 
193.100.177.168,193.100.177.175,business,DE,AS702 
193.100.177.176,193.100.177.183,isp,DE,AS702 
193.100.177.184,193.100.178.135,business,DE,AS702 
193.100.178.136,193.100.178.143,isp,DE,AS702 
193.100.178.144,193.100.208.255,business,DE,AS702 
193.100.209.0,193.100.209.255,business,DE,AS20676 
193.100.210.0,193.100.218.255,business,DE,AS702 
193.100.219.0,193.100.219.255,isp,DE,AS702 
193.100.220.0,193.100.226.255,business,DE,AS702 
193.100.227.0,193.100.227.255,business,DE,AS680 
193.100.228.0,193.100.231.255,business,DE,AS702 
193.100.232.0,193.100.232.255,business,DE,AS15743 
193.100.233.0,193.100.247.255,business,DE,AS702 
193.100.248.0,193.100.252.255,business,DE,AS3320 
193.100.253.0,193.100.253.255,business,DE,AS702 
193.100.254.0,193.100.254.255,business,DE,AS8220 
193.100.255.0,193.100.255.255,isp,DE,AS702 
