198.231.6.0,198.231.7.255,government,US 
198.231.8.0,198.231.13.255,hosting,US 
198.231.14.0,198.231.27.255,business,US 
198.231.28.0,198.231.29.111,isp,US 
198.231.29.112,198.231.29.119,business,US 
198.231.29.120,198.231.31.255,isp,US 
198.231.32.0,198.231.63.255,business,US 
198.231.64.0,198.231.64.255,business,CA 
198.231.65.0,198.231.65.255,isp,US 
198.231.66.0,198.231.66.255,education,CA 
198.231.67.0,198.231.67.255,isp,US 
198.231.68.0,198.231.71.255,education,CA 
198.231.72.0,198.231.73.255,isp,US 
198.231.74.0,198.231.75.255,education,CA 
198.231.76.0,198.231.77.255,business,CA 
198.231.78.0,198.231.87.255,isp,US 
198.231.88.0,198.231.93.255,business,CA 
198.231.94.0,198.231.94.255,isp,US 
198.231.95.0,198.231.95.255,business,CA 
198.231.96.0,198.231.99.255,isp,US 
198.231.100.0,198.231.101.255,education,CA 
198.231.102.0,198.231.104.255,business,CA 
198.231.105.0,198.231.105.255,isp,US 
198.231.106.0,198.231.106.255,business,CA 
198.231.107.0,198.231.107.255,isp,US 
198.231.108.0,198.231.127.255,isp,CA 
198.231.128.0,198.231.255.255,isp,US 
