198.35.0.0,198.35.15.255,government,US,AS3380 
198.35.16.0,198.35.16.51,business,US,AS394437 
198.35.16.52,198.35.16.203,hosting,US,AS394437 
198.35.16.204,198.35.16.207,business,US,AS394437 
198.35.16.208,198.35.16.231,hosting,US,AS394437 
198.35.16.232,198.35.16.239,business,US,AS394437 
198.35.16.240,198.35.16.247,hosting,US,AS394437 
198.35.16.248,198.35.16.251,business,US,AS394437 
198.35.16.252,198.35.17.127,hosting,US,AS394437 
198.35.17.128,198.35.17.131,business,US,AS394437 
198.35.17.132,198.35.17.143,hosting,US,AS394437 
198.35.17.144,198.35.17.147,business,US,AS394437 
198.35.17.148,198.35.17.167,hosting,US,AS394437 
198.35.17.168,198.35.17.171,business,US,AS394437 
198.35.17.172,198.35.17.183,hosting,US,AS394437 
198.35.17.184,198.35.17.191,education,US,AS394437 
198.35.17.192,198.35.17.198,business,US,AS394437 
198.35.17.199,198.35.17.203,hosting,US,AS394437 
198.35.17.204,198.35.17.207,business,US,AS394437 
198.35.17.208,198.35.17.215,hosting,US,AS394437 
198.35.17.216,198.35.18.23,business,US,AS394437 
198.35.18.24,198.35.18.27,hosting,US,AS394437 
198.35.18.28,198.35.18.39,business,US,AS394437 
198.35.18.40,198.35.18.87,hosting,US,AS394437 
198.35.18.88,198.35.18.95,education,US,AS394437 
198.35.18.96,198.35.18.103,hosting,US,AS394437 
198.35.18.104,198.35.18.111,education,US,AS394437 
198.35.18.112,198.35.18.127,hosting,US,AS394437 
198.35.18.128,198.35.18.135,business,US,AS394437 
198.35.18.136,198.35.18.143,hosting,US,AS394437 
198.35.18.144,198.35.18.159,business,US,AS394437 
198.35.18.160,198.35.18.167,hosting,US,AS394437 
198.35.18.168,198.35.18.175,business,US,AS394437 
198.35.18.176,198.35.18.183,education,US,AS394437 
198.35.18.184,198.35.18.203,business,US,AS394437 
198.35.18.204,198.35.18.239,hosting,US,AS394437 
198.35.18.240,198.35.18.255,business,US,AS394437 
198.35.19.0,198.35.19.63,hosting,US,AS394437 
198.35.19.64,198.35.19.87,business,US,AS394437 
198.35.19.88,198.35.19.95,hosting,US,AS394437 
198.35.19.96,198.35.19.103,business,US,AS394437 
198.35.19.104,198.35.19.127,hosting,US,AS394437 
198.35.19.128,198.35.19.159,business,US,AS394437 
198.35.19.160,198.35.19.191,hosting,US,AS394437 
198.35.19.192,198.35.19.207,business,US,AS394437 
198.35.19.208,198.35.19.223,hosting,US,AS394437 
198.35.19.224,198.35.19.255,business,US,AS394437 
198.35.20.0,198.35.23.255,hosting,US,AS15324 
198.35.24.0,198.35.25.255,hosting,US,AS53559 
198.35.26.0,198.35.27.255,hosting,US,AS14907 
198.35.28.0,198.35.31.255,hosting,US,AS33606 
198.35.32.0,198.35.41.255,business,US,AS40126 
198.35.42.0,198.35.43.255,business,CA,AS26320 
198.35.44.0,198.35.47.255,hosting,CA,AS25820 
198.35.48.0,198.35.48.119,isp,US,AS36086 
198.35.48.120,198.35.48.123,business,US,AS53933 
198.35.48.124,198.35.48.203,isp,US,AS36086 
198.35.48.204,198.35.48.215,business,US,AS53933 
198.35.48.216,198.35.48.217,isp,US,AS36086 
198.35.48.218,198.35.48.219,business,US,AS53933 
198.35.48.220,198.35.49.15,isp,US,AS36086 
198.35.49.16,198.35.49.19,business,US,AS53933 
198.35.49.20,198.35.49.51,isp,US,AS36086 
198.35.49.52,198.35.49.239,business,US,AS53933 
198.35.49.240,198.35.49.243,isp,US,AS36086 
198.35.49.244,198.35.49.247,business,US,AS53933 
198.35.49.248,198.35.49.249,isp,US,AS36086 
198.35.49.250,198.35.49.251,business,US,AS53933 
198.35.49.252,198.35.50.71,isp,US,AS36086 
198.35.50.72,198.35.50.159,business,US,AS53933 
198.35.50.160,198.35.50.175,isp,US,AS36086 
198.35.50.176,198.35.50.223,business,US,AS53933 
198.35.50.224,198.35.51.19,isp,US,AS36086 
198.35.51.20,198.35.51.23,business,US,AS53933 
198.35.51.24,198.35.51.71,isp,US,AS36086 
198.35.51.72,198.35.51.79,business,US,AS53933 
198.35.51.80,198.35.51.95,isp,US,AS36086 
198.35.51.96,198.35.51.107,business,US,AS36086 
198.35.51.108,198.35.51.127,business,US,AS53933 
198.35.51.128,198.35.51.163,business,US,AS36086 
198.35.51.164,198.35.51.167,business,US,AS53933 
198.35.51.168,198.35.51.183,business,US,AS36086 
198.35.51.184,198.35.51.199,business,US,AS53933 
198.35.51.200,198.35.51.207,isp,US,AS36086 
198.35.51.208,198.35.51.223,business,US,AS36086 
198.35.51.224,198.35.51.239,business,US,AS53933 
198.35.51.240,198.35.51.243,isp,US,AS36086 
198.35.51.244,198.35.51.245,business,US,AS53933 
198.35.51.246,198.35.52.11,isp,US,AS36086 
198.35.52.12,198.35.52.31,business,US,AS53933 
198.35.52.32,198.35.52.95,isp,US,AS36086 
198.35.52.96,198.35.52.127,business,US,AS53933 
198.35.52.128,198.35.52.191,isp,US,AS36086 
198.35.52.192,198.35.52.223,business,US,AS36086 
198.35.52.224,198.35.52.239,business,US,AS53933 
198.35.52.240,198.35.52.247,isp,US,AS36086 
198.35.52.248,198.35.52.253,business,US,AS53933 
198.35.52.254,198.35.53.43,isp,US,AS36086 
198.35.53.44,198.35.53.47,business,US,AS53933 
198.35.53.48,198.35.53.51,isp,US,AS36086 
198.35.53.52,198.35.53.55,business,US,AS53933 
198.35.53.56,198.35.53.63,isp,US,AS36086 
198.35.53.64,198.35.53.159,business,US,AS36086 
198.35.53.160,198.35.53.167,business,US,AS53933 
198.35.53.168,198.35.53.175,business,US,AS36086 
198.35.53.176,198.35.53.199,business,US,AS53933 
198.35.53.200,198.35.53.203,isp,US,AS36086 
198.35.53.204,198.35.53.207,business,US,AS53933 
198.35.53.208,198.35.53.211,business,US,AS36086 
198.35.53.212,198.35.53.239,business,US,AS53933 
198.35.53.240,198.35.53.247,business,US,AS36086 
198.35.53.248,198.35.53.249,business,US,AS53933 
198.35.53.250,198.35.54.39,isp,US,AS36086 
198.35.54.40,198.35.54.63,business,US,AS53933 
198.35.54.64,198.35.54.191,business,US,AS36086 
198.35.54.192,198.35.54.249,business,US,AS53933 
198.35.54.250,198.35.55.31,isp,US,AS36086 
198.35.55.32,198.35.55.127,business,US,AS53933 
198.35.55.128,198.35.55.143,isp,US,AS36086 
198.35.55.144,198.35.55.163,business,US,AS53933 
198.35.55.164,198.35.55.167,business,US,AS36086 
198.35.55.168,198.35.55.223,business,US,AS53933 
198.35.55.224,198.35.55.231,business,US,AS36086 
198.35.55.232,198.35.55.247,business,US,AS53933 
198.35.55.248,198.35.55.255,isp,US,AS36086 
198.35.56.0,198.35.56.63,business,US,AS36086 
198.35.56.64,198.35.56.95,business,US,AS53933 
198.35.56.96,198.35.56.111,business,US,AS36086 
198.35.56.112,198.35.56.191,business,US,AS53933 
198.35.56.192,198.35.56.255,business,US,AS36086 
198.35.57.0,198.35.63.255,business,US,AS53933 
198.35.64.0,198.35.111.255,business,US,AS395228 
198.35.112.0,198.35.113.255,business,US, 
198.35.114.0,198.35.115.255,education,US, 
198.35.116.0,198.35.116.255,business,US,AS17378 
198.35.117.0,198.35.117.255,hosting,US,AS17378 
198.35.118.0,198.35.119.255,business,US,AS17378 
198.35.120.0,198.35.127.255,business,US,AS36667 
198.35.128.0,198.35.255.255,business,US, 
