2.20.0.0,2.20.3.255,business,FI,AS719 
2.20.4.0,2.20.7.255,hosting,IT,AS6762 
2.20.8.0,2.20.11.255,hosting,US,AS16625 
2.20.12.0,2.20.15.255,hosting,NL,AS20940 
2.20.16.0,2.20.19.255,hosting,US,AS16625 
2.20.20.0,2.20.23.255,hosting,NL,AS20940 
2.20.24.0,2.20.27.255,business,TR,AS9121 
2.20.28.0,2.20.43.255,hosting,US,AS16625 
2.20.44.0,2.20.47.255,hosting,NL,AS20940 
2.20.48.0,2.20.48.255,hosting,NL,AS34164 
2.20.49.0,2.20.49.255,hosting,NL,AS20940 
2.20.50.0,2.20.50.255,hosting,NL,AS34164 
2.20.51.0,2.20.51.255,hosting,NL,AS20940 
2.20.52.0,2.20.59.255,hosting,US,AS16625 
2.20.60.0,2.20.63.255,hosting,DE,AS16625 
2.20.64.0,2.20.127.255,hosting,NL,AS20940 
2.20.128.0,2.20.131.255,hosting,US,AS16625 
2.20.132.0,2.20.139.255,hosting,NL,AS20940 
2.20.140.0,2.20.141.255,hosting,US,AS16625 
2.20.142.0,2.20.178.255,hosting,NL,AS20940 
2.20.179.0,2.20.179.255,hosting,ES,AS20940 
2.20.180.0,2.20.181.255,hosting,DE,AS20940 
2.20.182.0,2.20.182.255,hosting,AT,AS20940 
2.20.183.0,2.20.183.255,hosting,GB,AS34164 
2.20.184.0,2.20.184.255,hosting,DE,AS34164 
2.20.185.0,2.20.185.255,hosting,ES,AS20940 
2.20.186.0,2.20.187.255,hosting,DE,AS20940 
2.20.188.0,2.20.207.255,hosting,NL,AS20940 
2.20.208.0,2.20.223.255,hosting,US,AS16625 
2.20.224.0,2.20.239.255,hosting,NL,AS20940 
2.20.240.0,2.20.241.255,hosting,US,AS16625 
2.20.242.0,2.20.245.255,hosting,NL,AS20940 
2.20.246.0,2.20.246.255,hosting,NL,AS34164 
2.20.247.0,2.20.248.255,hosting,NL,AS20940 
2.20.249.0,2.20.249.255,hosting,AE,AS8966 
2.20.250.0,2.20.251.255,hosting,NL,AS20940 
2.20.252.0,2.20.252.255,hosting,IT,AS6762 
2.20.253.0,2.20.255.255,hosting,NL,AS20940 
