201.254.0.0,201.254.142.175,isp,AR,AS22927 
201.254.142.176,201.254.142.191,business,AR,AS22927 
201.254.142.192,201.254.222.15,isp,AR,AS22927 
201.254.222.16,201.254.222.31,business,AR,AS22927 
201.254.222.32,201.254.222.255,isp,AR,AS22927 
201.254.223.0,201.254.223.255,isp,AR,AS28048 
201.254.224.0,201.254.224.71,isp,AR,AS22927 
201.254.224.72,201.254.224.79,business,AR,AS22927 
201.254.224.80,201.254.229.255,isp,AR,AS22927 
201.254.230.0,201.254.230.255,isp,AR,AS272113 
201.254.231.0,201.254.235.255,isp,AR,AS22927 
201.254.236.0,201.254.236.255,isp,AR,AS27813 
201.254.237.0,201.254.237.255,business,AR,AS22927 
201.254.238.0,201.254.238.255,isp,AR,AS27813 
201.254.239.0,201.254.255.255,isp,AR,AS22927 
