202.162.0.0,202.162.31.255,hosting,MY,AS18206 
202.162.32.0,202.162.33.11,isp,ID,AS17996 
202.162.33.12,202.162.33.15,education,ID,AS17996 
202.162.33.16,202.162.33.131,isp,ID,AS17996 
202.162.33.132,202.162.33.135,business,ID,AS17996 
202.162.33.136,202.162.36.11,isp,ID,AS17996 
202.162.36.12,202.162.36.15,business,ID,AS17996 
202.162.36.16,202.162.37.63,isp,ID,AS17996 
202.162.37.64,202.162.37.79,education,ID,AS17996 
202.162.37.80,202.162.47.255,isp,ID,AS17996 
202.162.48.0,202.162.63.255,business,GB, 
202.162.64.0,202.162.65.255,business,AU,AS45610 
202.162.66.0,202.162.66.255,business,AU,AS45278 
202.162.67.0,202.162.67.255,isp,CN, 
202.162.68.0,202.162.71.255,isp,AU,AS4538 
202.162.72.0,202.162.73.255,business,NZ, 
202.162.74.0,202.162.74.255,business,AU,AS132385 
202.162.75.0,202.162.75.255,isp,CN, 
202.162.76.0,202.162.76.127,business,TH,AS23884 
202.162.76.128,202.162.76.255,hosting,TH,AS23884 
202.162.77.0,202.162.78.255,business,TH,AS23884 
202.162.79.0,202.162.79.191,hosting,TH,AS23884 
202.162.79.192,202.162.79.223,isp,TH,AS23884 
202.162.79.224,202.162.79.255,hosting,TH,AS23884 
202.162.80.0,202.162.95.255,isp,JP,AS24279 
202.162.96.0,202.162.96.255,hosting,JP,AS152194 
202.162.97.0,202.162.97.255,hosting,TW,AS64050 
202.162.98.0,202.162.98.255,hosting,HK,AS152194 
202.162.99.0,202.162.99.255,hosting,US,AS152194 
202.162.100.0,202.162.100.255,hosting,HK,AS152194 
202.162.101.0,202.162.101.255,hosting,KH,AS152194 
202.162.102.0,202.162.102.255,hosting,KR,AS64050 
202.162.103.0,202.162.103.255,hosting,US,AS152194 
202.162.104.0,202.162.104.255,hosting,KH,AS152194 
202.162.105.0,202.162.105.255,hosting,HK,AS152194 
202.162.106.0,202.162.111.255,isp,AU,AS64050 
202.162.112.0,202.162.127.255,isp,JP,AS23786 
202.162.128.0,202.162.128.255,business,JP,AS23788 
202.162.129.0,202.162.159.255,isp,JP,AS23788 
202.162.160.0,202.162.160.255,hosting,PH,AS23732 
202.162.161.0,202.162.161.255,business,PH, 
202.162.162.0,202.162.168.255,business,PH,AS23732 
202.162.169.0,202.162.169.155,business,PH, 
202.162.169.156,202.162.172.255,business,PH,AS23732 
202.162.173.0,202.162.173.155,business,PH, 
202.162.173.156,202.162.175.255,business,PH,AS23732 
202.162.176.0,202.162.183.255,business,NZ,AS23934 
202.162.184.0,202.162.187.255,business,HK,AS9590 
202.162.188.0,202.162.191.255,business,IN,AS38746 
202.162.192.0,202.162.194.215,hosting,ID,AS23679 
202.162.194.216,202.162.194.223,business,ID,AS23679 
202.162.194.224,202.162.199.255,hosting,ID,AS23679 
202.162.200.0,202.162.200.111,isp,ID, 
202.162.200.112,202.162.200.127,business,ID, 
202.162.200.128,202.162.201.255,isp,ID, 
202.162.202.0,202.162.202.255,isp,ID,AS23679 
202.162.203.0,202.162.203.127,isp,ID, 
202.162.203.128,202.162.203.239,business,ID, 
202.162.203.240,202.162.203.255,isp,ID, 
202.162.204.0,202.162.205.255,isp,ID,AS140031 
202.162.206.0,202.162.206.159,isp,ID, 
202.162.206.160,202.162.206.175,business,ID, 
202.162.206.176,202.162.206.183,isp,ID, 
202.162.206.184,202.162.206.191,education,ID, 
202.162.206.192,202.162.206.223,business,ID, 
202.162.206.224,202.162.206.239,education,ID, 
202.162.206.240,202.162.207.39,isp,ID, 
202.162.207.40,202.162.207.63,business,ID, 
202.162.207.64,202.162.207.71,isp,ID, 
202.162.207.72,202.162.207.79,business,ID, 
202.162.207.80,202.162.207.87,isp,ID, 
202.162.207.88,202.162.207.183,business,ID, 
202.162.207.184,202.162.207.215,isp,ID, 
202.162.207.216,202.162.207.255,business,ID, 
202.162.208.0,202.162.223.255,isp,ID,AS9341 
202.162.224.0,202.162.228.255,business,IN,AS9583 
202.162.229.0,202.162.230.255,business,IN,AS4755 
202.162.231.0,202.162.231.255,business,IN,AS133296 
202.162.232.0,202.162.233.255,business,IN,AS4755 
202.162.234.0,202.162.234.255,business,IN, 
202.162.235.0,202.162.235.255,business,IN,AS33480 
202.162.236.0,202.162.236.255,business,IN, 
202.162.237.0,202.162.241.255,business,IN,AS33480 
202.162.242.0,202.162.242.255,hosting,IN,AS33480 
202.162.243.0,202.162.254.255,business,IN,AS33480 
202.162.255.0,202.162.255.255,business,IN,AS9583 
