202.228.0.0,202.228.63.255,business,JP 
202.228.64.0,202.228.127.255,isp,JP 
202.228.128.0,202.228.131.255,business,JP 
202.228.132.0,202.228.132.127,isp,JP 
202.228.132.128,202.228.132.255,business,JP 
202.228.133.0,202.228.133.255,isp,JP 
202.228.134.0,202.228.134.143,business,JP 
202.228.134.144,202.228.135.31,isp,JP 
202.228.135.32,202.228.135.63,business,JP 
202.228.135.64,202.228.135.135,isp,JP 
202.228.135.136,202.228.135.143,business,JP 
202.228.135.144,202.228.135.159,isp,JP 
202.228.135.160,202.228.135.191,business,JP 
202.228.135.192,202.228.135.255,isp,JP 
202.228.136.0,202.228.143.255,business,JP 
202.228.144.0,202.228.145.255,isp,JP 
202.228.146.0,202.228.147.15,business,JP 
202.228.147.16,202.228.147.31,isp,JP 
202.228.147.32,202.228.147.79,business,JP 
202.228.147.80,202.228.149.127,isp,JP 
202.228.149.128,202.228.150.127,business,JP 
202.228.150.128,202.228.150.255,isp,JP 
202.228.151.0,202.228.151.255,business,JP 
202.228.152.0,202.228.153.255,isp,JP 
202.228.154.0,202.228.154.31,business,JP 
202.228.154.32,202.228.154.255,isp,JP 
202.228.155.0,202.228.155.31,business,JP 
202.228.155.32,202.228.155.255,isp,JP 
202.228.156.0,202.228.158.111,business,JP 
202.228.158.112,202.228.158.127,isp,JP 
202.228.158.128,202.228.159.127,business,JP 
202.228.159.128,202.228.160.255,isp,JP 
202.228.161.0,202.228.161.127,business,JP 
202.228.161.128,202.228.166.7,isp,JP 
202.228.166.8,202.228.166.47,business,JP 
202.228.166.48,202.228.166.255,isp,JP 
202.228.167.0,202.228.167.39,business,JP 
202.228.167.40,202.228.167.127,isp,JP 
202.228.167.128,202.228.171.255,business,JP 
202.228.172.0,202.228.173.255,isp,JP 
202.228.174.0,202.228.174.255,business,JP 
202.228.175.0,202.228.176.255,isp,JP 
202.228.177.0,202.228.180.127,business,JP 
202.228.180.128,202.228.180.255,isp,JP 
202.228.181.0,202.228.183.255,business,JP 
202.228.184.0,202.228.184.255,isp,JP 
202.228.185.0,202.228.186.255,business,JP 
202.228.187.0,202.228.187.255,isp,JP 
202.228.188.0,202.228.188.63,business,JP 
202.228.188.64,202.228.188.191,isp,JP 
202.228.188.192,202.228.190.111,business,JP 
202.228.190.112,202.228.190.159,isp,JP 
202.228.190.160,202.228.190.255,business,JP 
202.228.191.0,202.228.191.15,isp,JP 
202.228.191.16,202.228.191.47,business,JP 
202.228.191.48,202.228.191.63,isp,JP 
202.228.191.64,202.228.191.223,business,JP 
202.228.191.224,202.228.191.239,isp,JP 
202.228.191.240,202.228.192.159,business,JP 
202.228.192.160,202.228.195.127,hosting,JP 
202.228.195.128,202.228.196.127,business,JP 
202.228.196.128,202.228.197.127,hosting,JP 
202.228.197.128,202.228.199.127,business,JP 
202.228.199.128,202.228.199.255,hosting,JP 
202.228.200.0,202.228.200.47,business,JP 
202.228.200.48,202.228.200.55,hosting,JP 
202.228.200.56,202.228.200.127,business,JP 
202.228.200.128,202.228.202.255,hosting,JP 
202.228.203.0,202.228.203.255,business,JP 
202.228.204.0,202.228.206.79,hosting,JP 
202.228.206.80,202.228.206.127,business,JP 
202.228.206.128,202.228.206.255,hosting,JP 
202.228.207.0,202.228.207.63,business,JP 
202.228.207.64,202.228.207.95,hosting,JP 
202.228.207.96,202.228.207.127,business,JP 
202.228.207.128,202.228.207.255,hosting,JP 
202.228.208.0,202.228.210.127,business,JP 
202.228.210.128,202.228.211.255,hosting,JP 
202.228.212.0,202.228.213.255,business,JP 
202.228.214.0,202.228.214.127,hosting,JP 
202.228.214.128,202.228.214.255,business,JP 
202.228.215.0,202.228.215.255,hosting,JP 
202.228.216.0,202.228.216.15,business,JP 
202.228.216.16,202.228.216.127,hosting,JP 
202.228.216.128,202.228.216.255,business,JP 
202.228.217.0,202.228.217.127,hosting,JP 
202.228.217.128,202.228.218.31,business,JP 
202.228.218.32,202.228.220.95,hosting,JP 
202.228.220.96,202.228.220.127,business,JP 
202.228.220.128,202.228.227.127,hosting,JP 
202.228.227.128,202.228.227.191,business,JP 
202.228.227.192,202.228.227.255,hosting,JP 
202.228.228.0,202.228.228.63,business,JP 
202.228.228.64,202.228.228.127,hosting,JP 
202.228.228.128,202.228.228.255,business,JP 
202.228.229.0,202.228.229.95,hosting,JP 
202.228.229.96,202.228.229.127,business,JP 
202.228.229.128,202.228.231.31,hosting,JP 
202.228.231.32,202.228.231.39,business,JP 
202.228.231.40,202.228.231.119,hosting,JP 
202.228.231.120,202.228.231.127,business,JP 
202.228.231.128,202.228.232.31,hosting,JP 
202.228.232.32,202.228.232.47,business,JP 
202.228.232.48,202.228.232.191,hosting,JP 
202.228.232.192,202.228.232.255,business,JP 
202.228.233.0,202.228.233.255,hosting,JP 
202.228.234.0,202.228.234.63,business,JP 
202.228.234.64,202.228.234.111,hosting,JP 
202.228.234.112,202.228.234.119,business,JP 
202.228.234.120,202.228.234.127,hosting,JP 
202.228.234.128,202.228.234.255,business,JP 
202.228.235.0,202.228.239.127,hosting,JP 
202.228.239.128,202.228.239.255,business,JP 
202.228.240.0,202.229.1.255,isp,JP 
