202.235.0.0,202.235.4.255,isp,JP, 
202.235.5.0,202.235.6.255,business,JP, 
202.235.7.0,202.235.7.255,isp,JP, 
202.235.8.0,202.235.63.255,isp,JP,AS2497 
202.235.64.0,202.235.111.255,business,JP,AS4673 
202.235.112.0,202.235.127.255,isp,JP,AS2497 
202.235.128.0,202.235.191.255,education,JP,AS2907 
202.235.192.0,202.235.193.255,business,JP,AS4686 
202.235.194.0,202.235.194.255,isp,JP,AS4686 
202.235.195.0,202.235.195.255,business,JP,AS4686 
202.235.196.0,202.235.196.63,isp,JP,AS4686 
202.235.196.64,202.235.196.127,business,JP,AS4686 
202.235.196.128,202.235.196.191,isp,JP,AS4686 
202.235.196.192,202.235.198.47,business,JP,AS4686 
202.235.198.48,202.235.198.63,isp,JP,AS4686 
202.235.198.64,202.235.200.255,business,JP,AS4686 
202.235.201.0,202.235.201.63,isp,JP,AS4686 
202.235.201.64,202.235.205.255,business,JP,AS4686 
202.235.206.0,202.235.206.31,isp,JP,AS4686 
202.235.206.32,202.235.206.255,business,JP,AS4686 
202.235.207.0,202.235.207.255,isp,JP,AS4686 
202.235.208.0,202.235.211.255,business,JP,AS4686 
202.235.212.0,202.235.212.31,isp,JP,AS4686 
202.235.212.32,202.235.212.47,business,JP,AS4686 
202.235.212.48,202.235.212.63,isp,JP,AS4686 
202.235.212.64,202.235.212.127,business,JP,AS4686 
202.235.212.128,202.235.212.159,isp,JP,AS4686 
202.235.212.160,202.235.212.207,business,JP,AS4686 
202.235.212.208,202.235.212.255,isp,JP,AS4686 
202.235.213.0,202.235.213.31,business,JP,AS4686 
202.235.213.32,202.235.214.143,isp,JP,AS4686 
202.235.214.144,202.235.214.175,business,JP,AS4686 
202.235.214.176,202.235.214.207,isp,JP,AS4686 
202.235.214.208,202.235.223.255,business,JP,AS4686 
202.235.224.0,202.235.227.255,isp,JP,AS4686 
202.235.228.0,202.235.239.255,business,JP,AS4686 
202.235.240.0,202.235.242.255,isp,JP,AS4686 
202.235.243.0,202.235.243.255,business,JP,AS4686 
202.235.244.0,202.235.245.175,isp,JP,AS4686 
202.235.245.176,202.235.245.191,business,JP,AS4686 
202.235.245.192,202.235.246.159,isp,JP,AS4686 
202.235.246.160,202.235.246.191,business,JP,AS4686 
202.235.246.192,202.235.246.231,isp,JP,AS4686 
202.235.246.232,202.235.246.239,business,JP,AS4686 
202.235.246.240,202.235.247.255,isp,JP,AS4686 
202.235.248.0,202.235.248.127,business,JP,AS4686 
202.235.248.128,202.235.248.255,isp,JP,AS4686 
202.235.249.0,202.235.252.63,business,JP,AS4686 
202.235.252.64,202.235.253.79,isp,JP,AS4686 
202.235.253.80,202.235.253.95,business,JP,AS4686 
202.235.253.96,202.235.253.111,isp,JP,AS4686 
202.235.253.112,202.235.253.127,business,JP,AS4686 
202.235.253.128,202.235.253.255,isp,JP,AS4686 
202.235.254.0,202.235.254.15,business,JP,AS4686 
202.235.254.16,202.235.254.31,isp,JP,AS4686 
202.235.254.32,202.235.254.63,business,JP,AS4686 
202.235.254.64,202.235.254.191,isp,JP,AS4686 
202.235.254.192,202.235.254.255,business,JP,AS4686 
202.235.255.0,202.235.255.7,isp,JP,AS4686 
202.235.255.8,202.235.255.23,business,JP,AS4686 
202.235.255.24,202.235.255.47,isp,JP,AS4686 
202.235.255.48,202.235.255.127,business,JP,AS4686 
202.235.255.128,202.235.255.191,isp,JP,AS4686 
202.235.255.192,202.235.255.255,business,JP,AS4686 
