202.60.0.0,202.60.7.255,education,MU,AS23889 
202.60.8.0,202.60.15.255,isp,PH,AS24298 
202.60.16.0,202.60.31.255,business,JP, 
202.60.32.0,202.60.47.255,business,JP,AS17511 
202.60.48.0,202.60.55.255,isp,CN, 
202.60.56.0,202.60.59.255,business,MY,AS38044 
202.60.60.0,202.60.63.255,hosting,IN,AS38174 
202.60.64.0,202.60.79.255,hosting,AU,AS45671 
202.60.80.0,202.60.82.255,business,AU, 
202.60.83.0,202.60.95.255,hosting,AU,AS45671 
202.60.96.0,202.60.103.255,isp,CN, 
202.60.104.0,202.60.111.255,business,VN,AS24088 
202.60.112.0,202.60.127.255,business,CN,AS37970 
202.60.128.0,202.60.131.255,isp,AU,AS4538 
202.60.132.0,202.60.135.255,isp,CN,AS4134 
202.60.136.0,202.60.159.255,isp,CN, 
202.60.160.0,202.60.191.255,business,JP,AS9351 
202.60.192.0,202.60.207.255,hosting,TH,AS17887 
202.60.208.0,202.60.223.255,business,IN, 
202.60.224.0,202.60.251.255,business,HK,AS7468 
202.60.252.0,202.60.255.255,business,HK, 
