203.104.0.0,203.104.15.255,education,AU,AS9650 
203.104.16.0,203.104.23.255,hosting,SG,AS10310 
203.104.24.0,203.104.31.255,isp,MV,AS7642 
203.104.32.0,203.104.47.255,business,CN,AS133774 
203.104.48.0,203.104.63.255,business,NC,AS56089 
203.104.64.0,203.104.95.255,business,PH,AS10096 
203.104.96.0,203.104.111.255,hosting,JP,AS17707 
203.104.112.0,203.104.127.255,isp,JP,AS17936 
203.104.128.0,203.104.158.255,business,JP,AS38631 
203.104.159.0,203.104.159.255,business,JP,AS17661 
203.104.160.0,203.104.161.255,hosting,US,AS23576 
203.104.162.0,203.104.163.255,hosting,DE,AS23576 
203.104.164.0,203.104.167.255,hosting,US,AS23576 
203.104.168.0,203.104.169.255,hosting,HK,AS23576 
203.104.170.0,203.104.171.255,hosting,JP,AS23576 
203.104.172.0,203.104.177.255,hosting,SG,AS23576 
203.104.178.0,203.104.179.255,hosting,JP,AS135354 
203.104.180.0,203.104.181.255,business,HK, 
203.104.182.0,203.104.183.255,hosting,JP,AS135354 
203.104.184.0,203.104.185.255,hosting,DE,AS135354 
203.104.186.0,203.104.187.255,hosting,JP,AS135354 
203.104.188.0,203.104.191.255,hosting,SG,AS135354 
203.104.192.0,203.104.255.255,hosting,JP,AS17707 
