203.187.0.0,203.187.127.255,business,TW,AS9416 
203.187.128.0,203.187.128.127,hosting,SG,AS3300 
203.187.128.128,203.187.129.63,business,SG,AS3300 
203.187.129.64,203.187.129.79,hosting,SG,AS3300 
203.187.129.80,203.187.129.215,business,SG,AS3300 
203.187.129.216,203.187.131.255,hosting,SG,AS3300 
203.187.132.0,203.187.144.255,isp,US,AS3300 
203.187.145.0,203.187.145.255,hosting,HK,AS3300 
203.187.146.0,203.187.146.255,hosting,AU,AS3300 
203.187.147.0,203.187.159.255,isp,US,AS3300 
203.187.160.0,203.187.168.127,business,CN,AS4847 
203.187.168.128,203.187.168.255,education,CN,AS4847 
203.187.169.0,203.187.170.135,business,CN,AS4847 
203.187.170.136,203.187.170.143,education,CN,AS4847 
203.187.170.144,203.187.170.159,business,CN,AS4847 
203.187.170.160,203.187.170.167,education,CN,AS4847 
203.187.170.168,203.187.177.111,business,CN,AS4847 
203.187.177.112,203.187.177.127,education,CN,AS4847 
203.187.177.128,203.187.177.191,business,CN,AS4847 
203.187.177.192,203.187.177.199,education,CN,AS4847 
203.187.177.200,203.187.179.127,business,CN,AS4847 
203.187.179.128,203.187.179.255,education,CN,AS4847 
203.187.180.0,203.187.185.79,business,CN,AS4847 
203.187.185.80,203.187.185.95,education,CN,AS4847 
203.187.185.96,203.187.186.47,business,CN,AS4847 
203.187.186.48,203.187.186.63,education,CN,AS4847 
203.187.186.64,203.187.187.127,business,CN,AS4847 
203.187.187.128,203.187.187.191,education,CN,AS4847 
203.187.187.192,203.187.188.255,business,CN,AS4847 
203.187.189.0,203.187.189.127,education,CN,AS4847 
203.187.189.128,203.187.189.255,business,CN,AS4847 
203.187.190.0,203.187.190.255,education,CN,AS4847 
203.187.191.0,203.187.191.255,business,CN,AS4847 
203.187.192.0,203.187.255.255,isp,IN,AS18207 
