203.211.0.0,203.211.31.255,isp,TW,AS9924 
203.211.32.0,203.211.55.255,isp,JP,AS18135 
203.211.56.0,203.211.59.255,education,PH, 
203.211.60.0,203.211.63.255,business,SG, 
203.211.64.0,203.211.127.255,isp,NZ,AS45177 
203.211.128.0,203.211.128.136,isp,SG,AS17547 
203.211.128.137,203.211.128.172,business,SG,AS17547 
203.211.128.173,203.211.128.175,isp,SG,AS17547 
203.211.128.176,203.211.128.179,business,SG,AS17547 
203.211.128.180,203.211.128.251,isp,SG,AS17547 
203.211.128.252,203.211.128.254,business,SG,AS17547 
203.211.128.255,203.211.129.3,isp,SG,AS17547 
203.211.129.4,203.211.129.23,business,SG,AS17547 
203.211.129.24,203.211.129.95,isp,SG,AS17547 
203.211.129.96,203.211.129.191,business,SG,AS17547 
203.211.129.192,203.211.129.215,isp,SG,AS17547 
203.211.129.216,203.211.129.223,business,SG,AS17547 
203.211.129.224,203.211.129.239,isp,SG,AS17547 
203.211.129.240,203.211.129.247,business,SG,AS17547 
203.211.129.248,203.211.129.249,isp,SG,AS17547 
203.211.129.250,203.211.129.253,business,SG,AS17547 
203.211.129.254,203.211.130.9,isp,SG,AS17547 
203.211.130.10,203.211.130.11,business,SG,AS17547 
203.211.130.12,203.211.130.15,isp,SG,AS17547 
203.211.130.16,203.211.130.29,business,SG,AS17547 
203.211.130.30,203.211.130.43,isp,SG,AS17547 
203.211.130.44,203.211.130.67,business,SG,AS17547 
203.211.130.68,203.211.130.72,isp,SG,AS17547 
203.211.130.73,203.211.130.107,business,SG,AS17547 
203.211.130.108,203.211.130.109,isp,SG,AS17547 
203.211.130.110,203.211.130.125,education,SG,AS17547 
203.211.130.126,203.211.130.131,isp,SG,AS17547 
203.211.130.132,203.211.130.141,business,SG,AS17547 
203.211.130.142,203.211.130.153,isp,SG,AS17547 
203.211.130.154,203.211.130.157,business,SG,AS17547 
203.211.130.158,203.211.130.165,isp,SG,AS17547 
203.211.130.166,203.211.130.171,business,SG,AS17547 
203.211.130.172,203.211.130.179,isp,SG,AS17547 
203.211.130.180,203.211.130.195,business,SG,AS17547 
203.211.130.196,203.211.130.203,isp,SG,AS17547 
203.211.130.204,203.211.130.227,business,SG,AS17547 
203.211.130.228,203.211.130.233,isp,SG,AS17547 
203.211.130.234,203.211.130.241,business,SG,AS17547 
203.211.130.242,203.211.130.247,isp,SG,AS17547 
203.211.130.248,203.211.130.248,business,SG,AS17547 
203.211.130.249,203.211.131.53,isp,SG,AS17547 
203.211.131.54,203.211.131.55,business,SG,AS17547 
203.211.131.56,203.211.131.129,isp,SG,AS17547 
203.211.131.130,203.211.131.137,business,SG,AS17547 
203.211.131.138,203.211.131.235,isp,SG,AS17547 
203.211.131.236,203.211.131.237,business,SG,AS17547 
203.211.131.238,203.211.131.239,isp,SG,AS17547 
203.211.131.240,203.211.131.241,business,SG,AS17547 
203.211.131.242,203.211.132.127,isp,SG,AS17547 
203.211.132.128,203.211.132.143,business,SG,AS17547 
203.211.132.144,203.211.132.159,isp,SG,AS17547 
203.211.132.160,203.211.132.175,business,SG,AS17547 
203.211.132.176,203.211.132.197,isp,SG,AS17547 
203.211.132.198,203.211.132.201,business,SG,AS17547 
203.211.132.202,203.211.133.31,isp,SG,AS17547 
203.211.133.32,203.211.133.47,business,SG,AS17547 
203.211.133.48,203.211.133.87,isp,SG,AS17547 
203.211.133.88,203.211.133.119,business,SG,AS17547 
203.211.133.120,203.211.133.195,isp,SG,AS17547 
203.211.133.196,203.211.133.221,business,SG,AS17547 
203.211.133.222,203.211.134.145,isp,SG,AS17547 
203.211.134.146,203.211.134.161,education,SG,AS17547 
203.211.134.162,203.211.134.230,isp,SG,AS17547 
203.211.134.231,203.211.134.254,business,SG,AS17547 
203.211.134.255,203.211.134.255,isp,SG,AS17547 
203.211.135.0,203.211.136.255,business,SG,AS17547 
203.211.137.0,203.211.137.15,isp,SG,AS17547 
203.211.137.16,203.211.137.31,business,SG,AS17547 
203.211.137.32,203.211.137.51,isp,SG,AS17547 
203.211.137.52,203.211.137.57,business,SG,AS17547 
203.211.137.58,203.211.137.59,isp,SG,AS17547 
203.211.137.60,203.211.137.67,business,SG,AS17547 
203.211.137.68,203.211.137.161,isp,SG,AS17547 
203.211.137.162,203.211.137.165,business,SG,AS17547 
203.211.137.166,203.211.138.21,isp,SG,AS17547 
203.211.138.22,203.211.138.23,business,SG,AS17547 
203.211.138.24,203.211.138.39,isp,SG,AS17547 
203.211.138.40,203.211.138.43,business,SG,AS17547 
203.211.138.44,203.211.138.85,isp,SG,AS17547 
203.211.138.86,203.211.138.97,business,SG,AS17547 
203.211.138.98,203.211.138.101,isp,SG,AS17547 
203.211.138.102,203.211.138.117,business,SG,AS17547 
