203.217.0.0,203.217.95.255,isp,AU 
203.217.96.0,203.217.127.255,isp,TW 
203.217.128.0,203.217.131.255,education,MY 
203.217.132.0,203.217.133.255,isp,ID 
203.217.134.0,203.217.135.255,business,ID 
203.217.136.0,203.217.137.255,business,IN 
203.217.138.0,203.217.139.255,business,MN 
203.217.140.0,203.217.140.255,education,ID 
203.217.141.0,203.217.141.255,business,AU 
203.217.142.0,203.217.143.255,government,NZ 
203.217.144.0,203.217.147.255,business,IN 
203.217.148.0,203.217.149.255,hosting,US 
203.217.150.0,203.217.151.255,government,AU 
203.217.152.0,203.217.155.255,hosting,AU 
203.217.156.0,203.217.159.255,business,JP 
203.217.160.0,203.217.161.255,hosting,AU 
203.217.162.0,203.217.163.255,business,AU 
203.217.164.0,203.217.167.255,business,CN 
203.217.168.0,203.217.171.255,isp,KH 
203.217.172.0,203.217.173.255,hosting,ID 
203.217.174.0,203.217.174.255,business,IN 
203.217.175.0,203.217.175.255,hosting,AU 
203.217.176.0,203.217.177.27,hosting,MY 
203.217.177.28,203.217.177.33,business,MY 
203.217.177.34,203.217.177.52,hosting,MY 
203.217.177.53,203.217.177.64,business,MY 
203.217.177.65,203.217.177.104,hosting,MY 
203.217.177.105,203.217.177.114,business,MY 
203.217.177.115,203.217.177.174,hosting,MY 
203.217.177.175,203.217.177.177,business,MY 
203.217.177.178,203.217.177.198,hosting,MY 
203.217.177.199,203.217.177.214,business,MY 
203.217.177.215,203.217.177.224,hosting,MY 
203.217.177.225,203.217.177.227,business,MY 
203.217.177.228,203.217.177.230,hosting,MY 
203.217.177.231,203.217.177.232,business,MY 
203.217.177.233,203.217.177.241,hosting,MY 
203.217.177.242,203.217.177.243,business,MY 
203.217.177.244,203.217.178.0,hosting,MY 
203.217.178.1,203.217.178.8,business,MY 
203.217.178.9,203.217.178.57,hosting,MY 
203.217.178.58,203.217.178.64,business,MY 
203.217.178.65,203.217.178.75,hosting,MY 
203.217.178.76,203.217.178.90,business,MY 
203.217.178.91,203.217.178.124,hosting,MY 
203.217.178.125,203.217.178.129,business,MY 
203.217.178.130,203.217.178.134,hosting,MY 
203.217.178.135,203.217.178.144,business,MY 
203.217.178.145,203.217.178.150,hosting,MY 
203.217.178.151,203.217.178.152,business,MY 
203.217.178.153,203.217.178.157,hosting,MY 
203.217.178.158,203.217.178.159,business,MY 
203.217.178.160,203.217.178.162,hosting,MY 
203.217.178.163,203.217.178.164,business,MY 
203.217.178.165,203.217.178.174,hosting,MY 
203.217.178.175,203.217.178.180,business,MY 
203.217.178.181,203.217.178.181,hosting,MY 
203.217.178.182,203.217.178.199,business,MY 
203.217.178.200,203.217.178.206,hosting,MY 
203.217.178.207,203.217.178.209,business,MY 
203.217.178.210,203.217.178.212,hosting,MY 
203.217.178.213,203.217.178.216,business,MY 
203.217.178.217,203.217.178.217,hosting,MY 
203.217.178.218,203.217.178.229,business,MY 
203.217.178.230,203.217.178.238,hosting,MY 
203.217.178.239,203.217.178.240,business,MY 
203.217.178.241,203.217.178.243,hosting,MY 
203.217.178.244,203.217.178.244,business,MY 
203.217.178.245,203.217.179.99,hosting,MY 
203.217.179.100,203.217.179.106,business,MY 
203.217.179.107,203.217.179.109,hosting,MY 
203.217.179.110,203.217.179.124,isp,MY 
203.217.179.125,203.217.179.128,hosting,MY 
203.217.179.129,203.217.179.143,business,MY 
203.217.179.144,203.217.179.159,hosting,MY 
203.217.179.160,203.217.179.168,business,MY 
203.217.179.169,203.217.179.179,hosting,MY 
203.217.179.180,203.217.179.182,business,MY 
203.217.179.183,203.217.179.183,hosting,MY 
203.217.179.184,203.217.179.188,isp,MY 
203.217.179.189,203.217.179.192,hosting,MY 
203.217.179.193,203.217.179.199,isp,MY 
203.217.179.200,203.217.179.211,hosting,MY 
203.217.179.212,203.217.179.225,business,MY 
203.217.179.226,203.217.179.231,hosting,MY 
203.217.179.232,203.217.179.238,business,MY 
203.217.179.239,203.217.179.255,hosting,MY 
203.217.180.0,203.217.183.255,isp,JP 
203.217.184.0,203.217.187.255,education,SG 
203.217.188.0,203.217.191.255,isp,ID 
203.217.192.0,203.217.203.255,hosting,AU 
203.217.204.0,203.217.255.255,business,KR 
