204.138.0.0,204.138.0.255,isp,PR,AS11367 
204.138.1.0,204.138.25.255,education,CA,AS7311 
204.138.26.0,204.138.26.255,isp,US,AS399290 
204.138.27.0,204.138.27.255,hosting,GB,AS36436 
204.138.28.0,204.138.32.255,business,CA, 
204.138.33.0,204.138.33.255,business,CA,AS32881 
204.138.34.0,204.138.35.255,business,CA, 
204.138.36.0,204.138.36.255,education,CA, 
204.138.37.0,204.138.39.255,business,CA, 
204.138.40.0,204.138.40.15,hosting,US,AS16570 
204.138.40.16,204.138.40.31,hosting,CA,AS16570 
204.138.40.32,204.138.40.63,hosting,US,AS16570 
204.138.40.64,204.138.40.71,hosting,CA,AS16570 
204.138.40.72,204.138.40.79,hosting,US,AS16570 
204.138.40.80,204.138.40.83,isp,US,AS16570 
204.138.40.84,204.138.40.87,hosting,CA,AS16570 
204.138.40.88,204.138.40.95,hosting,US,AS16570 
204.138.40.96,204.138.40.100,isp,US,AS16570 
204.138.40.101,204.138.40.103,hosting,CA,AS16570 
204.138.40.104,204.138.40.107,hosting,US,AS16570 
204.138.40.108,204.138.40.111,hosting,CA,AS16570 
204.138.40.112,204.138.40.115,hosting,US,AS16570 
204.138.40.116,204.138.40.119,isp,US,AS16570 
204.138.40.120,204.138.40.127,hosting,CA,AS16570 
204.138.40.128,204.138.40.139,hosting,US,AS16570 
204.138.40.140,204.138.40.143,hosting,CA,AS16570 
204.138.40.144,204.138.40.151,hosting,US,AS16570 
204.138.40.152,204.138.40.155,hosting,CA,AS16570 
204.138.40.156,204.138.40.183,hosting,US,AS16570 
204.138.40.184,204.138.40.191,hosting,CA,AS16570 
204.138.40.192,204.138.40.219,hosting,US,AS16570 
204.138.40.220,204.138.40.255,hosting,CA,AS16570 
204.138.41.0,204.138.43.43,business,US,AS16570 
204.138.43.44,204.138.43.47,hosting,US,AS16570 
204.138.43.48,204.138.43.127,business,US,AS16570 
204.138.43.128,204.138.43.135,hosting,US,AS16570 
204.138.43.136,204.138.43.255,business,US,AS16570 
