206.212.0.0,206.212.63.255,education,US 
206.212.64.0,206.212.127.255,business,US 
206.212.128.0,206.212.191.255,hosting,US 
206.212.192.0,206.212.223.255,business,US 
206.212.224.0,206.212.239.255,isp,US 
206.212.240.0,206.212.242.255,business,US 
206.212.243.0,206.212.243.255,isp,US 
206.212.244.0,206.212.244.255,business,US 
206.212.245.0,206.212.245.255,isp,US 
206.212.246.0,206.212.246.255,business,US 
206.212.247.0,206.212.247.255,isp,US 
206.212.248.0,206.212.249.255,business,US 
206.212.250.0,206.212.250.255,isp,US 
206.212.251.0,206.212.251.255,business,US 
206.212.252.0,206.212.252.255,isp,US 
206.212.253.0,206.212.253.255,business,US 
206.212.254.0,206.212.255.255,isp,US 
