207.152.0.0,207.152.129.255,isp,US 
207.152.130.0,207.152.130.255,business,US 
207.152.131.0,207.152.131.255,isp,US 
207.152.132.0,207.152.133.255,business,US 
207.152.134.0,207.152.139.255,isp,US 
207.152.140.0,207.152.143.255,business,US 
207.152.144.0,207.152.146.255,isp,US 
207.152.147.0,207.152.147.255,business,US 
207.152.148.0,207.152.149.255,isp,US 
207.152.150.0,207.152.150.255,business,US 
207.152.151.0,207.152.168.255,isp,US 
207.152.169.0,207.152.169.255,business,US 
207.152.170.0,207.152.191.255,isp,US 
207.152.192.0,207.152.255.255,business,US 
