210.199.15.200,210.199.15.207,business,JP,AS2516 
210.199.15.208,210.199.79.255,isp,JP,AS2516 
210.199.80.0,210.199.95.255,business,JP,AS17511 
210.199.96.0,210.199.127.255,isp,JP,AS9374 
210.199.128.0,210.199.129.255,isp,JP,AS2516 
210.199.130.0,210.199.130.7,business,JP,AS2516 
210.199.130.8,210.199.158.127,isp,JP,AS2516 
210.199.158.128,210.199.158.255,business,JP,AS2516 
210.199.159.0,210.199.159.223,isp,JP,AS2516 
210.199.159.224,210.199.159.239,business,JP,AS2516 
210.199.159.240,210.199.170.31,isp,JP,AS2516 
210.199.170.32,210.199.170.95,business,JP,AS2516 
210.199.170.96,210.199.179.103,isp,JP,AS2516 
210.199.179.104,210.199.179.111,business,JP,AS2516 
210.199.179.112,210.199.179.175,isp,JP,AS2516 
210.199.179.176,210.199.179.191,business,JP,AS2516 
210.199.179.192,210.199.180.155,isp,JP,AS2516 
210.199.180.156,210.199.180.159,business,JP,AS2516 
210.199.180.160,210.199.181.79,isp,JP,AS2516 
210.199.181.80,210.199.181.111,business,JP,AS2516 
210.199.181.112,210.199.181.127,isp,JP,AS2516 
210.199.181.128,210.199.181.143,business,JP,AS2516 
210.199.181.144,210.199.181.151,isp,JP,AS2516 
210.199.181.152,210.199.181.159,business,JP,AS2516 
210.199.181.160,210.199.182.63,isp,JP,AS2516 
210.199.182.64,210.199.182.71,business,JP,AS2516 
210.199.182.72,210.199.182.87,isp,JP,AS2516 
210.199.182.88,210.199.182.95,business,JP,AS2516 
210.199.182.96,210.199.183.15,isp,JP,AS2516 
210.199.183.16,210.199.183.31,business,JP,AS2516 
210.199.183.32,210.199.183.159,isp,JP,AS2516 
210.199.183.160,210.199.183.167,business,JP,AS2516 
210.199.183.168,210.199.184.103,isp,JP,AS2516 
210.199.184.104,210.199.184.107,business,JP,AS2516 
210.199.184.108,210.199.190.167,isp,JP,AS2516 
210.199.190.168,210.199.190.175,business,JP,AS2516 
210.199.190.176,210.199.191.175,isp,JP,AS2516 
210.199.191.176,210.199.191.183,business,JP,AS2516 
210.199.191.184,210.199.211.127,isp,JP,AS2516 
210.199.211.128,210.199.211.159,education,JP,AS2516 
210.199.211.160,210.199.211.191,isp,JP,AS2516 
210.199.211.192,210.199.211.255,business,JP,AS2516 
210.199.212.0,210.199.217.159,isp,JP,AS2516 
210.199.217.160,210.199.217.167,business,JP,AS2516 
210.199.217.168,210.199.228.15,isp,JP,AS2516 
210.199.228.16,210.199.228.23,business,JP,AS2516 
210.199.228.24,210.199.229.239,isp,JP,AS2516 
210.199.229.240,210.199.229.255,business,JP,AS2516 
210.199.230.0,210.199.230.55,isp,JP,AS2516 
210.199.230.56,210.199.230.63,business,JP,AS2516 
210.199.230.64,210.199.230.159,isp,JP,AS2516 
210.199.230.160,210.199.230.191,business,JP,AS2516 
210.199.230.192,210.199.233.239,isp,JP,AS2516 
210.199.233.240,210.199.233.255,business,JP,AS2516 
210.199.234.0,210.199.234.159,isp,JP,AS2516 
210.199.234.160,210.199.234.163,business,JP,AS2516 
210.199.234.164,210.199.235.83,isp,JP,AS2516 
210.199.235.84,210.199.235.87,business,JP,AS2516 
210.199.235.88,210.199.235.159,isp,JP,AS2516 
210.199.235.160,210.199.235.191,business,JP,AS2516 
210.199.235.192,210.199.255.255,isp,JP,AS2516 
