212.121.0.0,212.121.31.255,education,GB 
212.121.32.0,212.121.36.255,business,GB 
212.121.37.0,212.121.37.255,business,US 
212.121.38.0,212.121.63.255,business,GB 
212.121.64.0,212.121.67.255,business,IT 
212.121.68.0,212.121.79.255,hosting,IT 
212.121.80.0,212.121.80.255,business,IT 
212.121.81.0,212.121.87.255,hosting,IT 
212.121.88.0,212.121.88.255,business,IT 
212.121.89.0,212.121.95.255,hosting,IT 
212.121.96.0,212.121.127.255,isp,NL 
212.121.128.0,212.121.129.255,isp,DE 
212.121.130.0,212.121.130.7,business,DE 
212.121.130.8,212.121.130.15,isp,DE 
212.121.130.16,212.121.130.31,business,DE 
212.121.130.32,212.121.130.159,isp,DE 
212.121.130.160,212.121.130.167,business,DE 
212.121.130.168,212.121.130.183,isp,DE 
212.121.130.184,212.121.130.199,business,DE 
212.121.130.200,212.121.130.207,isp,DE 
212.121.130.208,212.121.130.223,business,DE 
212.121.130.224,212.121.130.231,isp,DE 
212.121.130.232,212.121.131.31,business,DE 
212.121.131.32,212.121.131.47,isp,DE 
212.121.131.48,212.121.131.55,business,DE 
212.121.131.56,212.121.131.63,isp,DE 
212.121.131.64,212.121.131.71,business,DE 
212.121.131.72,212.121.131.79,isp,DE 
212.121.131.80,212.121.131.111,business,DE 
212.121.131.112,212.121.131.127,isp,DE 
212.121.131.128,212.121.131.135,business,DE 
212.121.131.136,212.121.131.159,isp,DE 
212.121.131.160,212.121.131.167,business,DE 
212.121.131.168,212.121.131.175,isp,DE 
212.121.131.176,212.121.131.183,business,DE 
212.121.131.184,212.121.131.199,isp,DE 
212.121.131.200,212.121.131.215,business,DE 
212.121.131.216,212.121.131.231,isp,DE 
212.121.131.232,212.121.131.255,business,DE 
212.121.132.0,212.121.132.7,isp,DE 
212.121.132.8,212.121.132.47,business,DE 
212.121.132.48,212.121.132.71,isp,DE 
212.121.132.72,212.121.132.79,business,DE 
212.121.132.80,212.121.132.87,isp,DE 
212.121.132.88,212.121.132.95,business,DE 
212.121.132.96,212.121.132.111,isp,DE 
212.121.132.112,212.121.132.119,business,DE 
212.121.132.120,212.121.132.127,isp,DE 
212.121.132.128,212.121.132.143,business,DE 
212.121.132.144,212.121.132.151,isp,DE 
212.121.132.152,212.121.132.191,business,DE 
212.121.132.192,212.121.132.255,isp,DE 
212.121.133.0,212.121.133.7,business,DE 
212.121.133.8,212.121.133.23,isp,DE 
212.121.133.24,212.121.133.31,business,DE 
212.121.133.32,212.121.133.47,isp,DE 
212.121.133.48,212.121.133.55,business,DE 
212.121.133.56,212.121.133.63,isp,DE 
212.121.133.64,212.121.133.71,business,DE 
212.121.133.72,212.121.133.79,isp,DE 
212.121.133.80,212.121.133.95,business,DE 
212.121.133.96,212.121.133.111,isp,DE 
212.121.133.112,212.121.133.127,business,DE 
212.121.133.128,212.121.133.143,isp,DE 
212.121.133.144,212.121.133.159,business,DE 
212.121.133.160,212.121.133.183,isp,DE 
212.121.133.184,212.121.133.191,business,DE 
212.121.133.192,212.121.133.255,isp,DE 
212.121.134.0,212.121.134.255,business,DE 
