212.142.0.0,212.142.16.255,isp,NL,AS6830 
212.142.17.0,212.142.17.255,business,NL,AS6830 
212.142.18.0,212.142.31.255,isp,NL,AS6830 
212.142.32.0,212.142.32.255,business,NL,AS6830 
212.142.33.0,212.142.47.255,isp,NL,AS6830 
212.142.48.0,212.142.48.255,business,NL,AS6830 
212.142.49.0,212.142.55.255,isp,NL,AS6830 
212.142.56.0,212.142.56.255,business,NL,AS6830 
212.142.57.0,212.142.63.255,isp,NL,AS6830 
212.142.64.0,212.142.127.255,isp,LV,AS24651 
212.142.128.0,212.142.136.255,isp,ES,AS12338 
212.142.137.0,212.142.137.11,business,ES,AS12338 
212.142.137.12,212.142.137.13,isp,ES,AS12338 
212.142.137.14,212.142.137.15,business,ES,AS12338 
212.142.137.16,212.142.137.19,isp,ES,AS12338 
212.142.137.20,212.142.137.24,business,ES,AS12338 
212.142.137.25,212.142.137.26,isp,ES,AS12338 
212.142.137.27,212.142.137.27,business,ES,AS12338 
212.142.137.28,212.142.137.30,isp,ES,AS12338 
212.142.137.31,212.142.137.47,business,ES,AS12338 
212.142.137.48,212.142.137.55,isp,ES,AS12338 
212.142.137.56,212.142.137.59,business,ES,AS12338 
212.142.137.60,212.142.137.63,isp,ES,AS12338 
212.142.137.64,212.142.137.191,business,ES,AS12338 
212.142.137.192,212.142.137.231,isp,ES,AS12338 
212.142.137.232,212.142.137.239,business,ES,AS12338 
212.142.137.240,212.142.137.247,isp,ES,AS12338 
212.142.137.248,212.142.137.255,education,ES,AS12338 
212.142.138.0,212.142.138.27,business,ES,AS12338 
212.142.138.28,212.142.138.31,isp,ES,AS12338 
212.142.138.32,212.142.138.47,business,ES,AS12338 
212.142.138.48,212.142.138.55,education,ES,AS12338 
212.142.138.56,212.142.138.74,isp,ES,AS12338 
212.142.138.75,212.142.138.75,business,ES,AS12338 
212.142.138.76,212.142.138.95,isp,ES,AS12338 
212.142.138.96,212.142.138.159,education,ES,AS12338 
212.142.138.160,212.142.138.167,isp,ES,AS12338 
212.142.138.168,212.142.138.183,education,ES,AS12338 
212.142.138.184,212.142.138.207,isp,ES,AS12338 
212.142.138.208,212.142.138.247,education,ES,AS12338 
212.142.138.248,212.142.139.15,business,ES,AS12338 
212.142.139.16,212.142.139.47,isp,ES,AS12338 
212.142.139.48,212.142.140.7,business,ES,AS12338 
212.142.140.8,212.142.140.19,isp,ES,AS12338 
212.142.140.20,212.142.140.23,business,ES,AS12338 
212.142.140.24,212.142.140.27,isp,ES,AS12338 
212.142.140.28,212.142.140.31,business,ES,AS12338 
212.142.140.32,212.142.140.47,isp,ES,AS12338 
212.142.140.48,212.142.140.63,business,ES,AS12338 
212.142.140.64,212.142.140.79,isp,ES,AS12338 
212.142.140.80,212.142.140.83,business,ES,AS12338 
212.142.140.84,212.142.140.87,isp,ES,AS12338 
212.142.140.88,212.142.140.103,business,ES,AS12338 
212.142.140.104,212.142.140.115,isp,ES,AS12338 
212.142.140.116,212.142.140.119,business,ES,AS12338 
212.142.140.120,212.142.140.127,isp,ES,AS12338 
212.142.140.128,212.142.140.131,business,ES,AS12338 
212.142.140.132,212.142.140.135,isp,ES,AS12338 
