213.154.0.0,213.154.31.255,isp,AZ,AS28787 
213.154.32.0,213.154.63.255,business,EG,AS15475 
213.154.64.0,213.154.65.63,isp,SN,AS8346 
213.154.65.64,213.154.65.127,business,SN,AS8346 
213.154.65.128,213.154.70.63,isp,SN,AS8346 
213.154.70.64,213.154.70.95,business,SN,AS8346 
213.154.70.96,213.154.70.111,isp,SN,AS8346 
213.154.70.112,213.154.70.247,business,SN,AS8346 
213.154.70.248,213.154.72.63,isp,SN,AS8346 
213.154.72.64,213.154.72.111,business,SN,AS8346 
213.154.72.112,213.154.72.127,isp,SN,AS8346 
213.154.72.128,213.154.72.167,business,SN,AS8346 
213.154.72.168,213.154.72.175,education,SN,AS8346 
213.154.72.176,213.154.74.95,business,SN,AS8346 
213.154.74.96,213.154.74.111,isp,SN,AS8346 
213.154.74.112,213.154.74.127,business,SN,AS8346 
213.154.74.128,213.154.74.143,isp,SN,AS8346 
213.154.74.144,213.154.74.255,business,SN,AS8346 
213.154.75.0,213.154.75.7,education,SN,AS8346 
213.154.75.8,213.154.75.31,isp,SN,AS8346 
213.154.75.32,213.154.75.71,business,SN,AS8346 
213.154.75.72,213.154.75.79,education,SN,AS8346 
213.154.75.80,213.154.75.127,business,SN,AS8346 
213.154.75.128,213.154.75.143,isp,SN,AS8346 
213.154.75.144,213.154.75.191,business,SN,AS8346 
213.154.75.192,213.154.75.207,isp,SN,AS8346 
213.154.75.208,213.154.75.255,business,SN,AS8346 
213.154.76.0,213.154.76.15,isp,SN,AS8346 
213.154.76.16,213.154.76.55,business,SN,AS8346 
213.154.76.56,213.154.76.63,isp,SN,AS8346 
213.154.76.64,213.154.76.127,business,SN,AS8346 
213.154.76.128,213.154.76.143,education,SN,AS8346 
213.154.76.144,213.154.76.151,isp,SN,AS8346 
213.154.76.152,213.154.77.79,business,SN,AS8346 
213.154.77.80,213.154.77.86,isp,SN,AS8346 
213.154.77.87,213.154.77.167,business,SN,AS8346 
213.154.77.168,213.154.77.175,isp,SN,AS8346 
213.154.77.176,213.154.77.239,business,SN,AS8346 
213.154.77.240,213.154.78.79,isp,SN,AS8346 
213.154.78.80,213.154.78.137,business,SN,AS8346 
213.154.78.138,213.154.78.143,isp,SN,AS8346 
213.154.78.144,213.154.78.175,business,SN,AS8346 
213.154.78.176,213.154.78.191,isp,SN,AS8346 
213.154.78.192,213.154.78.233,business,SN,AS8346 
213.154.78.234,213.154.78.239,isp,SN,AS8346 
213.154.78.240,213.154.78.255,business,SN,AS8346 
213.154.79.0,213.154.79.31,isp,SN,AS8346 
213.154.79.32,213.154.79.63,business,SN,AS8346 
213.154.79.64,213.154.79.135,isp,SN,AS8346 
213.154.79.136,213.154.79.143,business,SN,AS8346 
213.154.79.144,213.154.80.63,isp,SN,AS8346 
213.154.80.64,213.154.80.119,business,SN,AS8346 
213.154.80.120,213.154.80.127,isp,SN,AS8346 
213.154.80.128,213.154.80.191,education,SN,AS8346 
213.154.80.192,213.154.80.199,business,SN,AS8346 
