216.137.0.0,216.137.15.255,isp,BS 
216.137.16.0,216.137.31.255,business,US 
216.137.32.0,216.137.95.255,hosting,US 
216.137.96.0,216.137.127.255,isp,CA 
216.137.128.0,216.137.159.255,business,US 
216.137.160.0,216.137.161.7,isp,CA 
216.137.161.8,216.137.161.15,business,CA 
216.137.161.16,216.137.161.31,isp,CA 
216.137.161.32,216.137.161.95,business,CA 
216.137.161.96,216.137.161.207,isp,CA 
216.137.161.208,216.137.161.239,business,CA 
216.137.161.240,216.137.162.63,isp,CA 
216.137.162.64,216.137.162.79,business,CA 
216.137.162.80,216.137.162.95,isp,CA 
216.137.162.96,216.137.162.103,business,CA 
216.137.162.104,216.137.162.255,isp,CA 
216.137.163.0,216.137.163.63,business,CA 
216.137.163.64,216.137.163.79,isp,CA 
216.137.163.80,216.137.163.87,business,CA 
216.137.163.88,216.137.163.103,isp,CA 
216.137.163.104,216.137.163.111,business,CA 
216.137.163.112,216.137.164.15,isp,CA 
216.137.164.16,216.137.164.23,business,CA 
216.137.164.24,216.137.164.95,isp,CA 
216.137.164.96,216.137.164.111,business,CA 
216.137.164.112,216.137.164.119,isp,CA 
216.137.164.120,216.137.164.127,business,CA 
216.137.164.128,216.137.164.255,isp,CA 
216.137.165.0,216.137.165.255,hosting,CA 
216.137.166.0,216.137.167.255,isp,CA 
216.137.168.0,216.137.175.255,business,CA 
216.137.176.0,216.137.191.255,hosting,US 
216.137.192.0,216.137.206.255,isp,US 
216.137.207.0,216.137.207.31,business,US 
216.137.207.32,216.138.1.7,isp,US 
