216.211.0.0,216.211.1.255,isp,CA 
216.211.2.0,216.211.2.255,business,CA 
216.211.3.0,216.211.27.111,isp,CA 
216.211.27.112,216.211.27.119,business,CA 
216.211.27.120,216.211.27.135,isp,CA 
216.211.27.136,216.211.27.143,business,CA 
216.211.27.144,216.211.127.255,isp,CA 
216.211.128.0,216.211.130.87,hosting,US 
216.211.130.88,216.211.130.95,isp,US 
216.211.130.96,216.211.132.223,hosting,US 
216.211.132.224,216.211.132.255,hosting,CA 
216.211.133.0,216.211.137.255,hosting,US 
216.211.138.0,216.211.138.63,business,US 
216.211.138.64,216.211.138.87,hosting,US 
216.211.138.88,216.211.138.95,business,US 
216.211.138.96,216.211.138.223,hosting,US 
216.211.138.224,216.211.138.239,business,US 
216.211.138.240,216.211.143.255,hosting,US 
216.211.144.0,216.211.161.255,isp,US 
216.211.162.0,216.211.162.255,hosting,US 
216.211.163.0,216.211.163.255,business,US 
216.211.164.0,216.211.164.255,isp,US 
216.211.165.0,216.211.167.255,business,US 
216.211.168.0,216.211.168.255,isp,US 
216.211.169.0,216.211.169.255,business,US 
216.211.170.0,216.211.172.255,isp,US 
216.211.173.0,216.211.173.255,business,US 
216.211.174.0,216.211.174.255,isp,US 
216.211.175.0,216.211.175.255,business,US 
216.211.176.0,216.211.195.255,isp,US 
216.211.196.0,216.211.196.255,business,US 
216.211.197.0,216.211.197.255,business,KN 
216.211.198.0,216.211.199.255,business,CA 
216.211.200.0,216.211.203.255,isp,CA 
216.211.204.0,216.211.207.255,business,US 
216.211.208.0,216.211.211.255,hosting,US 
216.211.212.0,216.211.217.255,business,US 
216.211.218.0,216.211.218.255,hosting,CA 
216.211.219.0,216.211.219.255,business,US 
216.211.220.0,216.211.223.255,isp,CA 
216.211.240.0,216.211.241.95,isp,US 
216.211.241.96,216.211.241.119,business,US 
216.211.241.120,216.211.241.127,isp,US 
216.211.241.128,216.211.241.191,business,US 
216.211.241.192,216.211.241.223,isp,US 
216.211.241.224,216.211.241.255,business,US 
216.211.242.0,216.211.255.47,isp,US 
216.211.255.48,216.211.255.79,business,US 
216.211.255.80,216.211.255.95,isp,US 
216.211.255.96,216.211.255.111,business,US 
216.211.255.112,216.211.255.119,isp,US 
216.211.255.120,216.211.255.127,education,US 
216.211.255.128,216.211.255.135,business,US 
216.211.255.136,216.211.255.183,isp,US 
216.211.255.184,216.211.255.191,business,US 
216.211.255.192,216.211.255.223,isp,US 
216.211.255.224,216.211.255.239,business,US 
216.211.255.240,216.212.127.255,isp,US 
