222.128.0.0,222.128.193.127,isp,CN,AS4808 
222.128.193.128,222.128.193.255,business,CN,AS4808 
222.128.194.0,222.128.197.15,isp,CN,AS4808 
222.128.197.16,222.128.197.127,business,CN,AS4808 
222.128.197.128,222.128.200.255,isp,CN,AS4808 
222.128.201.0,222.128.203.191,business,CN,AS4808 
222.128.203.192,222.128.203.223,isp,CN,AS4808 
222.128.203.224,222.128.203.255,business,CN,AS4808 
222.128.204.0,222.128.204.255,isp,CN,AS4808 
222.128.205.0,222.128.205.159,business,CN,AS4808 
222.128.205.160,222.128.205.191,isp,CN,AS4808 
222.128.205.192,222.128.207.255,business,CN,AS4808 
222.128.208.0,222.128.208.255,isp,CN,AS4808 
222.128.209.0,222.128.216.159,business,CN,AS4808 
222.128.216.160,222.128.216.223,education,CN,AS4808 
222.128.216.224,222.128.216.239,business,CN,AS4808 
222.128.216.240,222.128.216.255,isp,CN,AS4808 
222.128.217.0,222.128.222.255,business,CN,AS4808 
222.128.223.0,222.131.255.255,isp,CN,AS4808 
