46.164.0.0,46.164.63.255,isp,SI,AS21283 
46.164.64.0,46.164.127.255,isp,IR,AS197207 
46.164.128.0,46.164.129.15,isp,UA,AS3326 
46.164.129.16,46.164.129.31,business,UA,AS3326 
46.164.129.32,46.164.129.215,isp,UA,AS3326 
46.164.129.216,46.164.129.231,business,UA,AS3326 
46.164.129.232,46.164.133.95,isp,UA,AS3326 
46.164.133.96,46.164.133.103,business,UA,AS3326 
46.164.133.104,46.164.133.239,isp,UA,AS3326 
46.164.133.240,46.164.133.255,business,UA,AS3326 
46.164.134.0,46.164.135.7,isp,UA,AS3326 
46.164.135.8,46.164.135.15,business,UA,AS3326 
46.164.135.16,46.164.135.31,isp,UA,AS3326 
46.164.135.32,46.164.135.47,business,UA,AS3326 
46.164.135.48,46.164.135.103,isp,UA,AS3326 
46.164.135.104,46.164.135.111,business,UA,AS3326 
46.164.135.112,46.164.135.143,isp,UA,AS3326 
46.164.135.144,46.164.135.151,business,UA,AS3326 
46.164.135.152,46.164.135.199,isp,UA,AS3326 
46.164.135.200,46.164.135.207,business,UA,AS3326 
46.164.135.208,46.164.135.215,isp,UA,AS3326 
46.164.135.216,46.164.135.223,business,UA,AS3326 
46.164.135.224,46.164.137.111,isp,UA,AS3326 
46.164.137.112,46.164.137.119,business,UA,AS3326 
46.164.137.120,46.164.139.39,isp,UA,AS3326 
46.164.139.40,46.164.139.47,education,UA,AS3326 
46.164.139.48,46.164.139.71,isp,UA,AS3326 
46.164.139.72,46.164.139.79,business,UA,AS3326 
46.164.139.80,46.164.139.95,isp,UA,AS3326 
46.164.139.96,46.164.139.103,business,UA,AS3326 
46.164.139.104,46.164.139.111,isp,UA,AS3326 
46.164.139.112,46.164.139.127,business,UA,AS3326 
46.164.139.128,46.164.139.159,isp,UA,AS3326 
46.164.139.160,46.164.139.167,business,UA,AS3326 
46.164.139.168,46.164.139.223,isp,UA,AS3326 
46.164.139.224,46.164.139.255,business,UA,AS3326 
46.164.140.0,46.164.141.79,isp,UA,AS3326 
46.164.141.80,46.164.141.87,business,UA,AS3326 
46.164.141.88,46.164.141.95,isp,UA,AS3326 
46.164.141.96,46.164.141.111,business,UA,AS3326 
46.164.141.112,46.164.141.119,isp,UA,AS3326 
46.164.141.120,46.164.141.127,business,UA,AS3326 
46.164.141.128,46.164.141.191,isp,UA,AS3326 
46.164.141.192,46.164.141.223,business,UA,AS3326 
46.164.141.224,46.164.142.39,isp,UA,AS3326 
46.164.142.40,46.164.142.47,business,UA,AS3326 
46.164.142.48,46.164.142.63,education,UA,AS3326 
46.164.142.64,46.164.142.103,isp,UA,AS3326 
46.164.142.104,46.164.142.111,business,UA,AS3326 
46.164.142.112,46.164.142.159,isp,UA,AS3326 
46.164.142.160,46.164.142.175,business,UA,AS3326 
46.164.142.176,46.164.142.191,isp,UA,AS3326 
46.164.142.192,46.164.142.223,business,UA,AS3326 
46.164.142.224,46.164.143.255,isp,UA,AS3326 
46.164.144.0,46.164.144.15,business,UA,AS3326 
46.164.144.16,46.164.144.119,isp,UA,AS3326 
46.164.144.120,46.164.144.127,business,UA,AS3326 
46.164.144.128,46.164.144.143,isp,UA,AS3326 
46.164.144.144,46.164.144.159,business,UA,AS3326 
46.164.144.160,46.164.144.175,isp,UA,AS3326 
46.164.144.176,46.164.144.183,business,UA,AS3326 
46.164.144.184,46.164.145.255,isp,UA,AS3326 
46.164.146.0,46.164.146.7,business,UA,AS3326 
46.164.146.8,46.164.146.111,isp,UA,AS3326 
46.164.146.112,46.164.146.119,business,UA,AS3326 
46.164.146.120,46.164.146.151,isp,UA,AS3326 
46.164.146.152,46.164.146.159,business,UA,AS3326 
46.164.146.160,46.164.146.175,isp,UA,AS3326 
46.164.146.176,46.164.146.191,business,UA,AS3326 
46.164.146.192,46.164.146.239,isp,UA,AS3326 
46.164.146.240,46.164.146.255,business,UA,AS3326 
46.164.147.0,46.164.148.71,isp,UA,AS3326 
46.164.148.72,46.164.148.95,business,UA,AS3326 
46.164.148.96,46.164.148.151,isp,UA,AS3326 
46.164.148.152,46.164.148.159,business,UA,AS3326 
46.164.148.160,46.164.148.215,isp,UA,AS3326 
46.164.148.216,46.164.148.223,business,UA,AS3326 
46.164.148.224,46.164.150.71,isp,UA,AS3326 
46.164.150.72,46.164.150.79,business,UA,AS3326 
46.164.150.80,46.164.150.95,isp,UA,AS3326 
46.164.150.96,46.164.150.103,business,UA,AS3326 
46.164.150.104,46.164.151.7,isp,UA,AS3326 
46.164.151.8,46.164.151.23,business,UA,AS3326 
46.164.151.24,46.164.151.55,isp,UA,AS3326 
46.164.151.56,46.164.151.63,business,UA,AS3326 
46.164.151.64,46.164.151.135,isp,UA,AS3326 
46.164.151.136,46.164.151.143,business,UA,AS3326 
46.164.151.144,46.164.151.159,isp,UA,AS3326 
