5.100.0.0,5.100.47.255,isp,DE 
5.100.48.0,5.100.63.255,business,DE 
5.100.64.0,5.100.127.255,isp,RU 
5.100.128.0,5.100.135.11,isp,DE 
5.100.135.12,5.100.135.19,business,DE 
5.100.135.20,5.100.135.23,isp,DE 
5.100.135.24,5.100.135.27,business,DE 
5.100.135.28,5.100.135.31,isp,DE 
5.100.135.32,5.100.135.39,business,DE 
5.100.135.40,5.100.135.43,isp,DE 
5.100.135.44,5.100.135.47,business,DE 
5.100.135.48,5.100.135.95,isp,DE 
5.100.135.96,5.100.135.99,business,DE 
5.100.135.100,5.100.135.123,isp,DE 
5.100.135.124,5.100.135.127,business,DE 
5.100.135.128,5.100.135.143,isp,DE 
5.100.135.144,5.100.135.147,business,DE 
5.100.135.148,5.100.135.151,isp,DE 
5.100.135.152,5.100.135.155,business,DE 
5.100.135.156,5.100.135.191,isp,DE 
5.100.135.192,5.100.135.195,business,DE 
5.100.135.196,5.100.143.255,isp,DE 
5.100.144.0,5.100.151.255,isp,FR 
5.100.152.0,5.100.155.255,hosting,GB 
5.100.156.0,5.100.157.255,hosting,TR 
5.100.158.0,5.100.159.255,business,GB 
5.100.160.0,5.100.167.255,isp,YE 
5.100.168.0,5.100.175.255,business,GB 
5.100.176.0,5.100.191.255,isp,NO 
5.100.192.0,5.100.223.255,isp,BY 
5.100.224.0,5.100.224.127,business,NL 
5.100.224.128,5.100.224.207,hosting,NL 
5.100.224.208,5.100.224.223,business,NL 
5.100.224.224,5.100.225.127,hosting,NL 
5.100.225.128,5.100.225.183,business,NL 
5.100.225.184,5.100.225.207,hosting,NL 
5.100.225.208,5.100.226.15,business,NL 
5.100.226.16,5.100.226.23,hosting,NL 
5.100.226.24,5.100.226.31,business,NL 
5.100.226.32,5.100.226.63,hosting,NL 
5.100.226.64,5.100.226.175,business,NL 
5.100.226.176,5.100.226.255,hosting,NL 
5.100.227.0,5.100.227.63,business,NL 
5.100.227.64,5.100.227.191,hosting,NL 
5.100.227.192,5.100.227.199,hosting,FI 
5.100.227.200,5.100.231.255,hosting,NL 
5.100.232.0,5.100.239.255,isp,IT 
5.100.240.0,5.100.243.255,isp,LB 
5.100.244.0,5.100.244.255,isp,RU 
5.100.245.0,5.100.245.255,hosting,RU 
5.100.246.0,5.100.246.255,business,RU 
5.100.247.0,5.100.247.255,isp,RU 
5.100.248.0,5.100.255.255,hosting,IL 
