5.149.0.0,5.149.7.255,business,CH 
5.149.8.0,5.149.8.255,business,GB 
5.149.9.0,5.149.15.255,government,GB 
5.149.16.0,5.149.63.255,business,CH 
5.149.64.0,5.149.95.255,isp,BA 
5.149.96.0,5.149.110.255,isp,IQ 
5.149.111.0,5.149.111.255,hosting,IQ 
5.149.112.0,5.149.112.43,hosting, 
5.149.112.44,5.149.112.55,isp,LU 
5.149.112.56,5.149.112.107,hosting, 
5.149.112.108,5.149.112.111,hosting,LU 
5.149.112.112,5.149.112.115,hosting, 
5.149.112.116,5.149.112.119,hosting,LU 
5.149.112.120,5.149.112.127,hosting, 
5.149.112.128,5.149.112.139,isp,LU 
5.149.112.140,5.149.112.143,hosting,LU 
5.149.112.144,5.149.112.243,hosting, 
5.149.112.244,5.149.112.247,isp,LU 
5.149.112.248,5.149.113.15,hosting, 
5.149.113.16,5.149.113.23,isp,LU 
5.149.113.24,5.149.113.87,hosting, 
5.149.113.88,5.149.113.95,isp,LU 
5.149.113.96,5.149.113.103,hosting, 
5.149.113.104,5.149.113.111,isp,LU 
5.149.113.112,5.149.113.131,hosting, 
5.149.113.132,5.149.113.147,isp,LU 
5.149.113.148,5.149.113.251,hosting, 
5.149.113.252,5.149.113.255,isp,LU 
5.149.114.0,5.149.114.15,hosting, 
5.149.114.16,5.149.114.31,isp,LU 
5.149.114.32,5.149.114.63,hosting, 
5.149.114.64,5.149.114.79,hosting,LU 
5.149.114.80,5.149.114.95,isp,LU 
5.149.114.96,5.149.114.143,hosting, 
5.149.114.144,5.149.114.175,isp,LU 
5.149.114.176,5.149.114.239,hosting, 
5.149.114.240,5.149.114.255,isp,LU 
5.149.115.0,5.149.115.63,hosting, 
5.149.115.64,5.149.115.95,hosting,LU 
5.149.115.96,5.149.115.111,hosting, 
5.149.115.112,5.149.115.127,hosting,LU 
5.149.115.128,5.149.115.159,hosting, 
5.149.115.160,5.149.115.191,hosting,LU 
5.149.115.192,5.149.115.255,hosting, 
5.149.116.0,5.149.116.127,isp,LU 
5.149.116.128,5.149.116.255,hosting,LU 
5.149.117.0,5.149.119.255,hosting, 
5.149.120.0,5.149.127.255,hosting,PL 
5.149.128.0,5.149.128.87,isp,SA 
5.149.128.88,5.149.128.95,business,SA 
5.149.128.96,5.149.129.127,isp,SA 
5.149.129.128,5.149.129.191,business,SA 
5.149.129.192,5.149.130.135,isp,SA 
5.149.130.136,5.149.130.139,business,SA 
5.149.130.140,5.149.131.79,isp,SA 
5.149.131.80,5.149.131.87,business,SA 
5.149.131.88,5.149.131.111,isp,SA 
5.149.131.112,5.149.131.115,business,SA 
5.149.131.116,5.149.131.139,isp,SA 
5.149.131.140,5.149.131.143,business,SA 
5.149.131.144,5.149.131.191,isp,SA 
5.149.131.192,5.149.131.199,business,SA 
5.149.131.200,5.149.132.19,isp,SA 
5.149.132.20,5.149.132.31,business,SA 
5.149.132.32,5.149.132.35,isp,SA 
5.149.132.36,5.149.132.39,business,SA 
5.149.132.40,5.149.132.47,isp,SA 
5.149.132.48,5.149.132.59,business,SA 
5.149.132.60,5.149.132.63,isp,SA 
5.149.132.64,5.149.132.71,business,SA 
5.149.132.72,5.149.132.111,isp,SA 
5.149.132.112,5.149.132.127,business,SA 
5.149.132.128,5.149.133.31,isp,SA 
5.149.133.32,5.149.133.63,business,SA 
5.149.133.64,5.149.133.127,isp,SA 
5.149.133.128,5.149.133.159,business,SA 
5.149.133.160,5.149.133.191,isp,SA 
5.149.133.192,5.149.133.223,business,SA 
5.149.133.224,5.149.134.175,isp,SA 
5.149.134.176,5.149.134.191,business,SA 
5.149.134.192,5.149.134.211,isp,SA 
5.149.134.212,5.149.134.215,education,SA 
5.149.134.216,5.149.135.255,isp,SA 
5.149.136.0,5.149.141.127,hosting,BE 
5.149.141.128,5.149.141.159,business,BE 
5.149.141.160,5.149.141.191,hosting,BE 
5.149.141.192,5.149.141.207,business,BE 
5.149.141.208,5.149.141.231,hosting,BE 
5.149.141.232,5.149.141.239,business,BE 
5.149.141.240,5.149.141.247,hosting,BE 
5.149.141.248,5.149.141.255,business,BE 
5.149.142.0,5.149.142.255,hosting,BE 
5.149.143.0,5.149.143.255,business,BE 
5.149.144.0,5.149.151.255,business,RU 
5.149.152.0,5.149.154.255,isp,RU 
5.149.155.0,5.149.158.255,business,RU 
5.149.159.0,5.149.159.255,isp,RU 
5.149.160.0,5.149.167.255,hosting,PL 
5.149.168.0,5.149.168.119,isp,IE 
5.149.168.120,5.149.168.127,business,IE 
5.149.168.128,5.149.169.127,isp,IE 
5.149.169.128,5.149.169.175,business,IE 
5.149.169.176,5.149.170.199,isp,IE 
5.149.170.200,5.149.170.207,business,IE 
5.149.170.208,5.149.172.31,isp,IE 
5.149.172.32,5.149.172.39,business,IE 
5.149.172.40,5.149.172.95,isp,IE 
5.149.172.96,5.149.172.127,business,IE 
5.149.172.128,5.149.172.167,isp,IE 
5.149.172.168,5.149.172.175,business,IE 
5.149.172.176,5.149.173.47,isp,IE 
5.149.173.48,5.149.173.55,business,IE 
5.149.173.56,5.149.173.215,isp,IE 
5.149.173.216,5.149.173.223,business,IE 
5.149.173.224,5.149.175.23,isp,IE 
5.149.175.24,5.149.175.47,business,IE 
5.149.175.48,5.149.175.103,isp,IE 
5.149.175.104,5.149.175.119,business,IE 
5.149.175.120,5.149.175.159,isp,IE 
5.149.175.160,5.149.175.167,business,IE 
5.149.175.168,5.149.175.175,isp,IE 
5.149.175.176,5.149.175.191,business,IE 
5.149.175.192,5.149.175.255,isp,IE 
5.149.176.0,5.149.181.255,hosting,FR 
5.149.182.0,5.149.184.255,business,FR 
5.149.185.0,5.149.187.255,hosting,FR 
5.149.188.0,5.149.191.255,business,FR 
5.149.192.0,5.149.192.255,isp,PL 
5.149.193.0,5.149.193.7,business,PL 
5.149.193.8,5.149.193.31,isp,PL 
5.149.193.32,5.149.193.39,business,PL 
5.149.193.40,5.149.193.95,isp,PL 
5.149.193.96,5.149.193.103,business,PL 
5.149.193.104,5.149.193.127,isp,PL 
5.149.193.128,5.149.193.135,business,PL 
5.149.193.136,5.149.193.159,isp,PL 
5.149.193.160,5.149.193.167,business,PL 
5.149.193.168,5.149.193.191,isp,PL 
5.149.193.192,5.149.193.199,business,PL 
5.149.193.200,5.149.193.223,isp,PL 
5.149.193.224,5.149.193.231,business,PL 
5.149.193.232,5.149.193.255,isp,PL 
5.149.194.0,5.149.194.15,business,PL 
5.149.194.16,5.149.194.63,isp,PL 
5.149.194.64,5.149.194.79,business,PL 
5.149.194.80,5.149.194.127,isp,PL 
5.149.194.128,5.149.194.143,business,PL 
5.149.194.144,5.149.195.127,isp,PL 
5.149.195.128,5.149.195.159,business,PL 
5.149.195.160,5.149.199.255,isp,PL 
5.149.200.0,5.149.200.255,business,RU 
5.149.201.0,5.149.201.255,isp,RU 
5.149.202.0,5.149.202.255,business,RU 
5.149.203.0,5.149.207.255,isp,RU 
5.149.208.0,5.149.223.255,business,RU 
5.149.224.0,5.149.239.255,isp,DE 
5.149.240.0,5.149.247.255,business,HU 
5.149.248.0,5.149.249.255,hosting,NL 
5.149.250.0,5.149.251.255,hosting,GB 
5.149.252.0,5.149.253.255,hosting,CA 
5.149.254.0,5.149.255.255,hosting,NL 
