60.232.0.0,60.232.107.255,business,CN 
60.232.108.0,60.232.108.53,education,CN 
60.232.108.54,60.232.108.55,business,CN 
60.232.108.56,60.232.108.95,education,CN 
60.232.108.96,60.232.108.135,business,CN 
60.232.108.136,60.232.108.143,education,CN 
60.232.108.144,60.232.125.255,business,CN 
60.232.126.0,60.232.126.39,education,CN 
60.232.126.40,60.232.141.255,business,CN 
60.232.142.0,60.232.142.39,education,CN 
60.232.142.40,60.232.157.255,business,CN 
60.232.158.0,60.232.158.7,education,CN 
60.232.158.8,60.232.159.15,business,CN 
60.232.159.16,60.232.159.23,education,CN 
60.232.159.24,60.232.189.255,business,CN 
60.232.190.0,60.232.190.15,education,CN 
60.232.190.16,60.232.191.55,business,CN 
60.232.191.56,60.232.191.71,education,CN 
60.232.191.72,60.232.191.223,business,CN 
60.232.191.224,60.232.191.231,education,CN 
60.232.191.232,60.232.191.247,isp,CN 
60.232.191.248,60.232.221.255,business,CN 
60.232.222.0,60.232.222.23,education,CN 
60.232.222.24,60.232.222.31,business,CN 
60.232.222.32,60.232.222.39,education,CN 
60.232.222.40,60.232.237.255,business,CN 
60.232.238.0,60.232.238.135,education,CN 
60.232.238.136,60.232.238.239,business,CN 
60.232.238.240,60.232.238.247,education,CN 
60.232.238.248,60.233.29.255,business,CN 
