62.135.0.0,62.135.127.255,isp,EG,AS24863 
62.135.128.0,62.135.135.255,business,DK,AS3292 
62.135.136.0,62.135.140.23,isp,DK,AS3292 
62.135.140.24,62.135.140.31,business,DK,AS3292 
62.135.140.32,62.135.140.95,isp,DK,AS3292 
62.135.140.96,62.135.140.111,business,DK,AS3292 
62.135.140.112,62.135.140.119,isp,DK,AS3292 
62.135.140.120,62.135.140.127,business,DK,AS3292 
62.135.140.128,62.135.140.143,isp,DK,AS3292 
62.135.140.144,62.135.140.151,business,DK,AS3292 
62.135.140.152,62.135.140.175,isp,DK,AS3292 
62.135.140.176,62.135.140.183,business,DK,AS3292 
62.135.140.184,62.135.140.223,isp,DK,AS3292 
62.135.140.224,62.135.140.255,business,DK,AS3292 
62.135.141.0,62.135.143.255,isp,DK,AS3292 
62.135.144.0,62.135.144.255,business,DK,AS3292 
62.135.145.0,62.135.255.255,isp,DK,AS3292 
