67.153.27.0,67.153.27.255,business,US,AS2828 
67.153.28.0,67.153.136.127,isp,US,AS2828 
67.153.136.128,67.153.136.159,business,US,AS2828 
67.153.136.160,67.153.139.95,isp,US,AS2828 
67.153.139.96,67.153.139.159,business,US,AS2828 
67.153.139.160,67.153.140.103,isp,US,AS2828 
67.153.140.104,67.153.140.111,business,US,AS2828 
67.153.140.112,67.153.141.223,isp,US,AS2828 
67.153.141.224,67.153.141.231,business,US,AS2828 
67.153.141.232,67.153.153.127,isp,US,AS2828 
67.153.153.128,67.153.153.159,business,US,AS2828 
67.153.153.160,67.153.153.183,isp,US,AS2828 
67.153.153.184,67.153.153.191,business,US,AS2828 
67.153.153.192,67.153.160.159,isp,US,AS2828 
67.153.160.160,67.153.160.191,business,US,AS2828 
67.153.160.192,67.153.169.31,isp,US,AS2828 
67.153.169.32,67.153.169.63,business,US,AS2828 
67.153.169.64,67.153.169.223,isp,US,AS2828 
67.153.169.224,67.153.169.255,business,US,AS2828 
67.153.170.0,67.153.173.223,isp,US,AS2828 
67.153.173.224,67.153.173.255,business,US,AS2828 
67.153.174.0,67.153.177.223,isp,US,AS2828 
67.153.177.224,67.153.178.63,business,US,AS2828 
67.153.178.64,67.153.179.175,isp,US,AS2828 
67.153.179.176,67.153.179.191,business,US,AS2828 
67.153.179.192,67.153.181.223,isp,US,AS2828 
67.153.181.224,67.153.181.231,business,US,AS2828 
67.153.181.232,67.153.182.63,isp,US,AS2828 
67.153.182.64,67.153.182.79,business,US,AS2828 
67.153.182.80,67.153.182.191,isp,US,AS2828 
67.153.182.192,67.153.182.207,business,US,AS2828 
67.153.182.208,67.154.49.255,isp,US,AS2828 
