70.132.0.0,70.132.63.255,hosting,US,AS16509 
70.132.64.0,70.132.96.23,isp,US,AS7018 
70.132.96.24,70.132.96.31,business,US,AS7018 
70.132.96.32,70.132.96.39,isp,US,AS7018 
70.132.96.40,70.132.96.47,business,US,AS7018 
70.132.96.48,70.132.96.71,isp,US,AS7018 
70.132.96.72,70.132.96.79,business,US,AS7018 
70.132.96.80,70.132.96.95,isp,US,AS7018 
70.132.96.96,70.132.96.103,business,US,AS7018 
70.132.96.104,70.132.96.151,isp,US,AS7018 
70.132.96.152,70.132.96.167,business,US,AS7018 
70.132.96.168,70.132.97.47,isp,US,AS7018 
70.132.97.48,70.132.97.63,business,US,AS7018 
70.132.97.64,70.132.97.95,isp,US,AS7018 
70.132.97.96,70.132.97.103,business,US,AS7018 
70.132.97.104,70.132.97.111,isp,US,AS7018 
70.132.97.112,70.132.97.119,business,US,AS7018 
70.132.97.120,70.132.97.127,isp,US,AS7018 
70.132.97.128,70.132.97.135,business,US,AS7018 
70.132.97.136,70.132.97.143,isp,US,AS7018 
70.132.97.144,70.132.97.151,business,US,AS7018 
70.132.97.152,70.132.97.183,isp,US,AS7018 
70.132.97.184,70.132.97.191,business,US,AS7018 
70.132.97.192,70.132.98.39,isp,US,AS7018 
70.132.98.40,70.132.98.47,business,US,AS7018 
70.132.98.48,70.132.98.95,isp,US,AS7018 
70.132.98.96,70.132.98.103,business,US,AS7018 
70.132.98.104,70.132.98.127,isp,US,AS7018 
70.132.98.128,70.132.98.135,business,US,AS7018 
70.132.98.136,70.132.98.159,isp,US,AS7018 
70.132.98.160,70.132.98.167,education,US,AS7018 
70.132.98.168,70.132.98.207,isp,US,AS7018 
70.132.98.208,70.132.98.223,business,US,AS7018 
70.132.98.224,70.132.99.23,isp,US,AS7018 
70.132.99.24,70.132.99.31,business,US,AS7018 
70.132.99.32,70.132.99.55,isp,US,AS7018 
70.132.99.56,70.132.99.63,education,US,AS7018 
70.132.99.64,70.132.100.15,isp,US,AS7018 
70.132.100.16,70.132.100.23,business,US,AS7018 
70.132.100.24,70.132.100.39,isp,US,AS7018 
70.132.100.40,70.132.100.47,business,US,AS7018 
70.132.100.48,70.132.100.151,isp,US,AS7018 
70.132.100.152,70.132.100.159,business,US,AS7018 
70.132.100.160,70.132.101.79,isp,US,AS7018 
70.132.101.80,70.132.101.87,business,US,AS7018 
70.132.101.88,70.132.101.103,isp,US,AS7018 
70.132.101.104,70.132.101.111,business,US,AS7018 
70.132.101.112,70.132.101.143,isp,US,AS7018 
70.132.101.144,70.132.101.151,business,US,AS7018 
70.132.101.152,70.132.101.223,isp,US,AS7018 
70.132.101.224,70.132.101.231,education,US,AS7018 
70.132.101.232,70.132.102.63,isp,US,AS7018 
70.132.102.64,70.132.102.79,business,US,AS7018 
70.132.102.80,70.132.102.87,isp,US,AS7018 
70.132.102.88,70.132.102.95,business,US,AS7018 
70.132.102.96,70.132.102.111,isp,US,AS7018 
70.132.102.112,70.132.102.119,business,US,AS7018 
70.132.102.120,70.132.102.167,isp,US,AS7018 
70.132.102.168,70.132.102.175,business,US,AS7018 
70.132.102.176,70.132.104.47,isp,US,AS7018 
70.132.104.48,70.132.104.55,business,US,AS7018 
70.132.104.56,70.132.106.87,isp,US,AS7018 
70.132.106.88,70.132.106.95,business,US,AS7018 
70.132.106.96,70.132.106.111,isp,US,AS7018 
70.132.106.112,70.132.106.135,business,US,AS7018 
70.132.106.136,70.132.106.159,isp,US,AS7018 
70.132.106.160,70.132.106.167,business,US,AS7018 
70.132.106.168,70.132.108.23,isp,US,AS7018 
70.132.108.24,70.132.108.39,business,US,AS7018 
70.132.108.40,70.132.115.15,isp,US,AS7018 
70.132.115.16,70.132.115.23,business,US,AS7018 
70.132.115.24,70.132.152.7,isp,US,AS7018 
70.132.152.8,70.132.152.15,business,US,AS7018 
70.132.152.16,70.132.152.47,isp,US,AS7018 
70.132.152.48,70.132.152.55,business,US,AS7018 
70.132.152.56,70.132.152.87,isp,US,AS7018 
70.132.152.88,70.132.152.103,business,US,AS7018 
70.132.152.104,70.132.152.167,isp,US,AS7018 
70.132.152.168,70.132.152.175,business,US,AS7018 
70.132.152.176,70.132.152.183,isp,US,AS7018 
70.132.152.184,70.132.152.191,business,US,AS7018 
70.132.152.192,70.132.152.207,isp,US,AS7018 
70.132.152.208,70.132.152.223,business,US,AS7018 
70.132.152.224,70.132.152.231,isp,US,AS7018 
70.132.152.232,70.132.152.239,business,US,AS7018 
70.132.152.240,70.132.153.23,isp,US,AS7018 
70.132.153.24,70.132.153.31,business,US,AS7018 
70.132.153.32,70.132.153.111,isp,US,AS7018 
70.132.153.112,70.132.153.119,business,US,AS7018 
70.132.153.120,70.132.153.199,isp,US,AS7018 
70.132.153.200,70.132.153.207,business,US,AS7018 
70.132.153.208,70.132.153.247,isp,US,AS7018 
70.132.153.248,70.132.153.255,business,US,AS7018 
70.132.154.0,70.132.154.79,isp,US,AS7018 
70.132.154.80,70.132.154.87,business,US,AS7018 
70.132.154.88,70.132.154.199,isp,US,AS7018 
