71.143.0.0,71.143.63.255,business,US, 
71.143.64.0,71.143.100.15,isp,US,AS7018 
71.143.100.16,71.143.100.23,business,US,AS7018 
71.143.100.24,71.143.100.95,isp,US,AS7018 
71.143.100.96,71.143.100.103,business,US,AS7018 
71.143.100.104,71.143.100.151,isp,US,AS7018 
71.143.100.152,71.143.100.159,business,US,AS7018 
71.143.100.160,71.143.101.7,isp,US,AS7018 
71.143.101.8,71.143.101.15,business,US,AS7018 
71.143.101.16,71.143.101.111,isp,US,AS7018 
71.143.101.112,71.143.101.119,business,US,AS7018 
71.143.101.120,71.143.101.151,isp,US,AS7018 
71.143.101.152,71.143.101.159,business,US,AS7018 
71.143.101.160,71.143.101.207,isp,US,AS7018 
71.143.101.208,71.143.101.215,business,US,AS7018 
71.143.101.216,71.143.101.239,isp,US,AS7018 
71.143.101.240,71.143.101.247,business,US,AS7018 
71.143.101.248,71.143.104.15,isp,US,AS7018 
71.143.104.16,71.143.104.23,business,US,AS7018 
71.143.104.24,71.143.104.191,isp,US,AS7018 
71.143.104.192,71.143.104.207,business,US,AS7018 
71.143.104.208,71.143.104.255,isp,US,AS7018 
71.143.105.0,71.143.105.255,business,US,AS7018 
71.143.106.0,71.143.106.119,isp,US,AS7018 
71.143.106.120,71.143.106.127,business,US,AS7018 
71.143.106.128,71.143.106.247,isp,US,AS7018 
71.143.106.248,71.143.107.7,business,US,AS7018 
71.143.107.8,71.143.107.55,isp,US,AS7018 
71.143.107.56,71.143.107.63,education,US,AS7018 
71.143.107.64,71.143.107.215,isp,US,AS7018 
71.143.107.216,71.143.107.223,business,US,AS7018 
71.143.107.224,71.143.107.255,isp,US,AS7018 
71.143.108.0,71.143.108.31,business,US,AS7018 
71.143.108.32,71.143.108.71,isp,US,AS7018 
71.143.108.72,71.143.108.79,business,US,AS7018 
71.143.108.80,71.143.108.103,isp,US,AS7018 
71.143.108.104,71.143.108.111,business,US,AS7018 
71.143.108.112,71.143.108.151,isp,US,AS7018 
71.143.108.152,71.143.108.159,business,US,AS7018 
71.143.108.160,71.143.108.215,isp,US,AS7018 
71.143.108.216,71.143.108.223,business,US,AS7018 
