78.130.0.0,78.130.127.255,isp,PT,AS2860 
78.130.128.0,78.130.128.255,hosting,BG,AS48900 
78.130.129.0,78.130.131.255,isp,BG,AS9070 
78.130.132.0,78.130.139.255,business,BG,AS29667 
78.130.140.0,78.130.142.255,isp,BG,AS9070 
78.130.143.0,78.130.143.255,business,BG,AS47647 
78.130.144.0,78.130.152.255,isp,BG,AS9070 
78.130.153.0,78.130.153.255,business,BG,AS9070 
78.130.154.0,78.130.155.255,isp,BG,AS9070 
78.130.156.0,78.130.156.255,business,BG,AS15362 
78.130.157.0,78.130.175.255,isp,BG,AS9070 
78.130.176.0,78.130.177.255,business,BG,AS9070 
78.130.178.0,78.130.255.255,isp,BG,AS9070 
