80.162.69.120,80.162.69.127,business,DK,AS3292 
80.162.69.128,80.162.132.175,isp,DK,AS3292 
80.162.132.176,80.162.132.191,business,DK,AS3292 
80.162.132.192,80.162.136.47,isp,DK,AS3292 
80.162.136.48,80.162.136.63,business,DK,AS3292 
80.162.136.64,80.162.144.79,isp,DK,AS3292 
80.162.144.80,80.162.144.87,business,DK,AS3292 
80.162.144.88,80.162.157.223,isp,DK,AS3292 
80.162.157.224,80.162.157.231,business,DK,AS3292 
80.162.157.232,80.162.165.7,isp,DK,AS3292 
80.162.165.8,80.162.165.15,business,DK,AS3292 
80.162.165.16,80.162.185.119,isp,DK,AS3292 
80.162.185.120,80.162.185.127,business,DK,AS3292 
80.162.185.128,80.162.237.255,isp,DK,AS3292 
80.162.238.0,80.162.238.63,business,DK,AS3292 
80.162.238.64,80.163.67.63,isp,DK,AS3292 
