82.167.0.0,82.167.145.31,business,SA 
82.167.145.32,82.167.145.39,isp,SA 
82.167.145.40,82.167.145.95,business,SA 
82.167.145.96,82.167.145.99,isp,SA 
82.167.145.100,82.167.146.47,business,SA 
82.167.146.48,82.167.146.51,education,SA 
82.167.146.52,82.167.146.55,business,SA 
82.167.146.56,82.167.146.63,education,SA 
82.167.146.64,82.167.146.195,business,SA 
82.167.146.196,82.167.146.199,education,SA 
82.167.146.200,82.167.146.203,isp,SA 
82.167.146.204,82.167.146.231,business,SA 
82.167.146.232,82.167.146.235,isp,SA 
82.167.146.236,82.167.146.255,business,SA 
82.167.147.0,82.167.147.3,isp,SA 
82.167.147.4,82.167.147.167,business,SA 
82.167.147.168,82.167.147.171,education,SA 
82.167.147.172,82.167.147.179,business,SA 
82.167.147.180,82.167.147.183,isp,SA 
82.167.147.184,82.167.147.191,business,SA 
82.167.147.192,82.167.147.195,education,SA 
82.167.147.196,82.167.147.199,business,SA 
82.167.147.200,82.167.147.203,isp,SA 
82.167.147.204,82.167.148.135,business,SA 
82.167.148.136,82.167.148.139,isp,SA 
82.167.148.140,82.167.148.195,business,SA 
82.167.148.196,82.167.148.199,education,SA 
82.167.148.200,82.167.150.243,business,SA 
82.167.150.244,82.167.150.251,education,SA 
82.167.150.252,82.167.151.99,business,SA 
82.167.151.100,82.167.151.103,isp,SA 
82.167.151.104,82.167.151.171,business,SA 
82.167.151.172,82.167.151.175,isp,SA 
82.167.151.176,82.167.151.199,business,SA 
82.167.151.200,82.167.151.207,isp,SA 
82.167.151.208,82.167.153.39,business,SA 
82.167.153.40,82.167.153.47,education,SA 
82.167.153.48,82.167.153.211,business,SA 
82.167.153.212,82.167.153.219,isp,SA 
82.167.153.220,82.167.155.55,business,SA 
82.167.155.56,82.167.155.63,education,SA 
82.167.155.64,82.167.155.171,business,SA 
82.167.155.172,82.167.155.187,isp,SA 
82.167.155.188,82.167.155.247,business,SA 
82.167.155.248,82.167.155.251,isp,SA 
82.167.155.252,82.167.156.7,business,SA 
82.167.156.8,82.167.156.11,isp,SA 
82.167.156.12,82.167.156.55,business,SA 
82.167.156.56,82.167.156.63,isp,SA 
82.167.156.64,82.167.156.87,business,SA 
82.167.156.88,82.167.156.95,isp,SA 
82.167.156.96,82.167.156.187,business,SA 
82.167.156.188,82.167.156.191,isp,SA 
82.167.156.192,82.167.186.187,business,SA 
82.167.186.188,82.167.186.191,isp,SA 
82.167.186.192,82.167.186.215,business,SA 
82.167.186.216,82.167.186.219,isp,SA 
82.167.186.220,82.167.187.27,business,SA 
82.167.187.28,82.167.187.31,isp,SA 
82.167.187.32,82.167.187.219,business,SA 
82.167.187.220,82.167.187.223,isp,SA 
82.167.187.224,82.167.189.43,business,SA 
82.167.189.44,82.167.189.47,isp,SA 
82.167.189.48,82.167.189.171,business,SA 
82.167.189.172,82.167.189.175,isp,SA 
82.167.189.176,82.167.189.247,business,SA 
82.167.189.248,82.167.189.251,isp,SA 
82.167.189.252,82.167.190.11,business,SA 
82.167.190.12,82.167.190.15,isp,SA 
82.167.190.16,82.167.255.255,business,SA 
