84.236.0.0,84.236.127.255,isp,HU,AS20845 
84.236.128.0,84.236.142.255,isp,ES,AS29119 
84.236.143.0,84.236.143.255,isp,ES,AS50563 
84.236.144.0,84.236.179.255,isp,ES,AS29119 
84.236.180.0,84.236.180.255,isp,ES,AS60807 
84.236.181.0,84.236.182.255,isp,ES,AS60711 
84.236.183.0,84.236.223.183,isp,ES,AS29119 
84.236.223.184,84.236.223.191,business,ES,AS29119 
84.236.223.192,84.236.223.199,isp,ES,AS29119 
84.236.223.200,84.236.223.207,business,ES,AS29119 
84.236.223.208,84.236.233.255,isp,ES,AS29119 
84.236.234.0,84.236.235.255,isp,ES,AS210423 
84.236.236.0,84.236.247.255,isp,ES,AS29119 
84.236.248.0,84.236.249.255,isp,ES,AS60711 
84.236.250.0,84.236.250.255,isp,ES,AS60807 
84.236.251.0,84.236.255.255,isp,ES,AS29119 
