85.15.0.0,85.15.63.255,isp,IR,AS31549 
85.15.64.0,85.15.127.255,isp,RU,AS34896 
85.15.128.0,85.15.143.255,isp,RU,AS12389 
85.15.144.0,85.15.164.255,business,RU,AS12389 
85.15.165.0,85.15.165.255,isp,RU,AS12389 
85.15.166.0,85.15.174.255,business,RU,AS12389 
85.15.175.0,85.15.177.255,isp,RU,AS12389 
85.15.178.0,85.15.181.255,business,RU,AS12389 
85.15.182.0,85.15.182.255,isp,RU,AS12389 
85.15.183.0,85.15.189.255,business,RU,AS12389 
85.15.190.0,85.15.191.255,isp,RU,AS12389 
85.15.192.0,85.15.199.255,hosting,LV,AS29600 
85.15.200.0,85.15.200.23,business,LV,AS29600 
85.15.200.24,85.15.200.31,hosting,LV,AS29600 
85.15.200.32,85.15.200.47,business,LV,AS29600 
85.15.200.48,85.15.200.111,hosting,LV,AS29600 
85.15.200.112,85.15.200.119,business,LV,AS29600 
85.15.200.120,85.15.200.159,hosting,LV,AS29600 
85.15.200.160,85.15.200.191,business,LV,AS29600 
85.15.200.192,85.15.202.255,hosting,LV,AS29600 
85.15.203.0,85.15.205.255,business,LV,AS29600 
85.15.206.0,85.15.206.255,isp,LV,AS29600 
85.15.207.0,85.15.209.255,hosting,LV,AS29600 
85.15.210.0,85.15.211.255,business,LV,AS29600 
85.15.212.0,85.15.212.255,hosting,LV,AS29600 
85.15.213.0,85.15.216.255,business,LV,AS29600 
85.15.217.0,85.15.219.207,hosting,LV,AS29600 
85.15.219.208,85.15.219.223,business,LV,AS29600 
85.15.219.224,85.15.219.255,hosting,LV,AS29600 
85.15.220.0,85.15.220.255,business,LV,AS29600 
85.15.221.0,85.15.226.255,hosting,LV,AS29600 
85.15.227.0,85.15.227.255,business,LV,AS29600 
85.15.228.0,85.15.229.255,hosting,LV,AS29600 
85.15.230.0,85.15.230.255,business,LV,AS35302 
85.15.231.0,85.15.233.255,hosting,LV,AS29600 
85.15.234.0,85.15.237.255,business,LV,AS29600 
85.15.238.0,85.15.239.255,hosting,LV,AS29600 
85.15.240.0,85.15.243.255,business,LV,AS29600 
85.15.244.0,85.15.245.255,hosting,LV,AS29600 
85.15.246.0,85.15.247.255,business,LV,AS29600 
85.15.248.0,85.15.253.255,hosting,LV,AS29600 
85.15.254.0,85.15.255.255,business,LV,AS29600 
