89.104.0.0,89.104.31.255,isp,AT,AS8339 
89.104.32.0,89.104.63.255,business,GB, 
89.104.64.0,89.104.71.255,hosting,RU,AS197695 
89.104.72.0,89.104.87.255,hosting,RU,AS39494 
89.104.88.0,89.104.88.63,isp,RU,AS39494 
89.104.88.64,89.104.88.79,hosting,RU,AS39494 
89.104.88.80,89.104.88.255,isp,RU,AS39494 
89.104.89.0,89.104.91.255,hosting,RU,AS39494 
89.104.92.0,89.104.95.255,business,RU,AS39494 
89.104.96.0,89.104.96.255,isp,RU,AS24739 
89.104.97.0,89.104.97.255,isp,RU,AS8492 
89.104.98.0,89.104.99.255,isp,RU,AS24739 
89.104.100.0,89.104.101.255,hosting,RU,AS203020 
89.104.102.0,89.104.102.255,isp,UZ,AS8193 
89.104.103.0,89.104.106.255,isp,RU,AS24739 
89.104.107.0,89.104.107.255,business,NL, 
89.104.108.0,89.104.109.255,isp,RU,AS24739 
89.104.110.0,89.104.111.255,hosting,RU,AS203020 
89.104.112.0,89.104.113.255,business,RU, 
89.104.114.0,89.104.114.255,business,RU,AS39033 
89.104.115.0,89.104.115.255,isp,RU,AS8492 
89.104.116.0,89.104.116.255,business,RU,AS50340 
89.104.117.0,89.104.117.255,hosting,RU,AS50340 
89.104.118.0,89.104.118.255,isp,RU,AS8492 
89.104.119.0,89.104.119.255,business,NL, 
89.104.120.0,89.104.120.255,isp,RU,AS24739 
89.104.121.0,89.104.121.255,isp,TJ,AS51346 
89.104.122.0,89.104.123.255,hosting,GB,AS207990 
89.104.124.0,89.104.124.255,isp,RU,AS24739 
89.104.125.0,89.104.125.255,business,NL, 
89.104.126.0,89.104.126.255,business,RU, 
89.104.127.0,89.104.127.255,business,RU,AS50340 
89.104.128.0,89.104.159.255,business,IS,AS39532 
89.104.160.0,89.104.162.255,business,NL,AS49544 
89.104.163.0,89.104.163.255,hosting,NL,AS49544 
89.104.164.0,89.104.165.255,business,NL,AS49544 
89.104.166.0,89.104.166.255,hosting,NL,AS49544 
89.104.167.0,89.104.167.63,business,NL,AS49544 
89.104.167.64,89.104.167.127,hosting,NL,AS49544 
89.104.167.128,89.104.167.191,business,NL,AS49544 
89.104.167.192,89.104.167.255,hosting,NL,AS49544 
89.104.168.0,89.104.169.255,hosting,FR,AS49544 
89.104.170.0,89.104.171.255,hosting,CA,AS49544 
89.104.172.0,89.104.191.255,hosting,NL,AS49544 
89.104.192.0,89.104.193.255,business,DK, 
89.104.194.0,89.104.195.255,business,DK,AS34848 
89.104.196.0,89.104.197.255,business,DK, 
89.104.198.0,89.104.200.95,business,DK,AS34848 
89.104.200.96,89.104.200.127,business,DK, 
89.104.200.128,89.104.206.255,business,DK,AS34848 
89.104.207.0,89.104.207.255,business,DK, 
89.104.208.0,89.104.211.255,business,DK,AS34848 
89.104.212.0,89.104.212.31,business,DK, 
89.104.212.32,89.104.212.255,business,DK,AS34848 
89.104.213.0,89.104.214.255,business,DK, 
89.104.215.0,89.104.215.255,business,DK,AS34848 
89.104.216.0,89.104.217.255,isp,DK, 
89.104.218.0,89.104.219.31,business,DK, 
89.104.219.32,89.104.219.127,business,DK,AS34848 
89.104.219.128,89.104.219.135,business,DK, 
89.104.219.136,89.104.220.255,business,DK,AS34848 
89.104.221.0,89.104.221.255,business,DK,AS31027 
89.104.222.0,89.104.223.255,business,DK,AS34848 
89.104.224.0,89.104.255.255,isp,GB,AS39522 
