92.253.0.0,92.253.123.255,isp,JO,AS8376 
92.253.124.0,92.253.124.7,business,JO,AS8376 
92.253.124.8,92.253.124.23,isp,JO,AS8376 
92.253.124.24,92.253.124.31,business,JO,AS8376 
92.253.124.32,92.253.124.87,isp,JO,AS8376 
92.253.124.88,92.253.124.103,business,JO,AS8376 
92.253.124.104,92.253.124.143,isp,JO,AS8376 
92.253.124.144,92.253.124.159,business,JO,AS8376 
92.253.124.160,92.253.125.79,isp,JO,AS8376 
92.253.125.80,92.253.125.95,business,JO,AS8376 
92.253.125.96,92.253.125.127,isp,JO,AS8376 
92.253.125.128,92.253.125.135,business,JO,AS8376 
92.253.125.136,92.253.125.191,isp,JO,AS8376 
92.253.125.192,92.253.125.223,business,JO,AS8376 
92.253.125.224,92.253.125.239,isp,JO,AS8376 
92.253.125.240,92.253.125.255,education,JO,AS8376 
92.253.126.0,92.253.127.255,isp,JO,AS8376 
92.253.128.0,92.253.191.255,isp,,AS44546 
92.253.192.0,92.253.195.255,isp,UZ,AS207154 
92.253.196.0,92.253.199.255,isp,UZ,AS43533 
92.253.200.0,92.253.200.255,isp,RU,AS209067 
92.253.201.0,92.253.201.255,isp,,AS44546 
92.253.202.0,92.253.202.255,isp,UZ,AS211433 
92.253.203.0,92.253.203.255,isp,,AS44546 
92.253.204.0,92.253.204.255,isp,UA,AS204889 
92.253.205.0,92.253.205.255,business,UA,AS209213 
92.253.206.0,92.253.207.255,isp,RU,AS209248 
92.253.208.0,92.253.211.255,isp,,AS44546 
92.253.212.0,92.253.215.255,isp,UA,AS59577 
92.253.216.0,92.253.217.255,isp,RU,AS51812 
92.253.218.0,92.253.219.255,isp,RU,AS207676 
92.253.220.0,92.253.223.255,business,CZ,AS44546 
92.253.224.0,92.253.231.255,business,SY,AS29256 
92.253.232.0,92.253.232.255,isp,RU,AS215349 
92.253.233.0,92.253.233.255,isp,UA,AS209229 
92.253.234.0,92.253.234.255,isp,UA,AS207677 
92.253.235.0,92.253.235.255,isp,RU,AS207676 
92.253.236.0,92.253.239.255,isp,UA,AS59577 
92.253.240.0,92.253.255.255,isp,RU,AS41575 
