92.55.0.0,92.55.63.255,isp,RU,AS3226 
92.55.64.0,92.55.81.255,isp,MK,AS34772 
92.55.82.0,92.55.87.255,isp,MK,AS41557 
92.55.88.0,92.55.107.255,isp,MK,AS34772 
92.55.108.0,92.55.111.255,isp,MK,AS41557 
92.55.112.0,92.55.115.255,isp,MK,AS34772 
92.55.116.0,92.55.121.255,isp,MK,AS41557 
92.55.122.0,92.55.127.255,isp,MK,AS34772 
92.55.128.0,92.55.128.255,isp,RO, 
92.55.129.0,92.55.129.255,isp,RO,AS39737 
92.55.130.0,92.55.130.255,isp,RO, 
92.55.131.0,92.55.132.255,isp,RO,AS39737 
92.55.133.0,92.55.133.255,isp,RO, 
92.55.134.0,92.55.135.255,isp,RO,AS39737 
92.55.136.0,92.55.137.255,isp,RO, 
92.55.138.0,92.55.142.255,isp,RO,AS39737 
92.55.143.0,92.55.143.255,isp,RO, 
92.55.144.0,92.55.152.255,isp,RO,AS39737 
92.55.153.0,92.55.154.255,business,RO,AS39737 
92.55.155.0,92.55.159.0,isp,RO, 
92.55.159.1,92.55.159.255,isp,RO,AS39737 
92.55.160.0,92.55.191.255,isp,KZ,AS21299 
92.55.192.0,92.55.197.255,isp,PL,AS42739 
92.55.198.0,92.55.199.255,isp,PL,AS212163 
92.55.200.0,92.55.207.255,isp,PL,AS42739 
92.55.208.0,92.55.209.255,isp,PL,AS211025 
92.55.210.0,92.55.219.255,isp,PL,AS42739 
92.55.220.0,92.55.220.255,business,PL,AS42739 
92.55.221.0,92.55.255.255,isp,PL,AS42739 
