93.127.0.0,93.127.3.255,isp,UA,AS21497 
93.127.4.0,93.127.62.7,isp,UA,AS6703 
93.127.62.8,93.127.62.15,business,UA,AS6703 
93.127.62.16,93.127.103.255,isp,UA,AS6703 
93.127.104.0,93.127.119.255,isp,UA, 
93.127.120.0,93.127.127.255,isp,UA,AS21497 
93.127.128.0,93.127.159.255,business,DE, 
93.127.160.0,93.127.160.255,business,AE,AS47447 
93.127.161.0,93.127.161.255,hosting,DE,AS47583 
93.127.162.0,93.127.163.255,hosting,FR,AS47583 
93.127.164.0,93.127.164.255,hosting,DE,AS47583 
93.127.165.0,93.127.165.255,hosting,US,AS47583 
93.127.166.0,93.127.166.255,hosting,IN,AS47583 
93.127.167.0,93.127.167.255,isp,TR,AS47583 
93.127.168.0,93.127.168.255,hosting,IN,AS47583 
93.127.169.0,93.127.169.255,hosting,TR,AS47583 
93.127.170.0,93.127.171.255,business,SG,AS13213 
93.127.172.0,93.127.173.255,hosting,IN,AS47583 
93.127.174.0,93.127.174.255,hosting,US,AS47583 
93.127.175.0,93.127.177.255,hosting,DE,AS47583 
93.127.178.0,93.127.178.255,hosting,NL,AS47583 
93.127.179.0,93.127.179.255,hosting,TR,AS47583 
93.127.180.0,93.127.183.255,hosting,AE,AS216383 
93.127.184.0,93.127.184.255,hosting,DE,AS47583 
93.127.185.0,93.127.185.255,hosting,IN,AS47583 
93.127.186.0,93.127.186.255,hosting,LT,AS47583 
93.127.187.0,93.127.187.255,hosting,SG,AS47583 
93.127.188.0,93.127.188.255,isp,US,AS47583 
93.127.189.0,93.127.191.255,hosting,BR,AS47583 
93.127.192.0,93.127.193.255,hosting,GB,AS47583 
93.127.194.0,93.127.195.255,hosting,IN,AS47583 
93.127.196.0,93.127.196.255,hosting,SG,AS47583 
93.127.197.0,93.127.197.255,hosting,US,AS47583 
93.127.198.0,93.127.199.255,hosting,IN,AS47583 
93.127.200.0,93.127.200.255,hosting,US,AS47583 
93.127.201.0,93.127.201.255,hosting,SG,AS47583 
93.127.202.0,93.127.205.255,hosting,FR,AS47583 
93.127.206.0,93.127.208.255,hosting,IN,AS47583 
93.127.209.0,93.127.212.255,hosting,BR,AS47583 
93.127.213.0,93.127.214.255,hosting,LT,AS47583 
93.127.215.0,93.127.218.255,hosting,US,AS47583 
93.127.219.0,93.127.220.255,hosting,ID,AS47583 
93.127.221.0,93.127.221.255,hosting,GB,AS47583 
93.127.222.0,93.127.223.255,hosting,GB,AS46475 
93.127.224.0,93.127.255.255,business,DE,AS62336 
