94.190.0.0,94.190.127.255,isp,RU 
94.190.128.0,94.190.143.255,isp,BG 
94.190.144.0,94.190.144.255,business,CA 
94.190.145.0,94.190.145.255,business,GG 
94.190.146.0,94.190.146.255,business,US 
94.190.147.0,94.190.147.255,business,GI 
94.190.148.0,94.190.148.255,business,FR 
94.190.149.0,94.190.149.255,business,GI 
94.190.150.0,94.190.151.255,business,FR 
94.190.152.0,94.190.155.255,business,TW 
94.190.156.0,94.190.159.255,business,CA 
94.190.160.0,94.190.194.255,isp,BG 
94.190.195.0,94.190.195.255,hosting,KR 
94.190.196.0,94.190.199.255,isp,GI 
94.190.200.0,94.190.207.255,business,NL 
94.190.208.0,94.190.239.255,isp,HK 
94.190.240.0,94.190.240.55,isp,GB 
94.190.240.56,94.190.240.63,hosting,GB 
94.190.240.64,94.190.240.71,isp,GB 
94.190.240.72,94.190.240.79,hosting,GB 
94.190.240.80,94.190.240.111,isp,GB 
94.190.240.112,94.190.240.119,hosting,GB 
94.190.240.120,94.190.242.255,isp,GB 
94.190.243.0,94.190.243.255,hosting,GB 
94.190.244.0,94.190.244.127,isp,GB 
94.190.244.128,94.190.244.255,hosting,GB 
94.190.245.0,94.190.245.3,isp,GB 
94.190.245.4,94.190.245.79,hosting,GB 
94.190.245.80,94.190.245.103,isp,GB 
94.190.245.104,94.190.245.255,hosting,GB 
94.190.246.0,94.190.247.191,isp,GB 
94.190.247.192,94.190.251.255,hosting,GB 
94.190.252.0,94.190.255.255,isp,BG 
